TR,pupilSize
1,941.3860000000002
2,1065.9603855005753
3,1035.14
4,1077.7380076628356
5,994.9102040816326
6,968.436231884058
7,739.4649373881932
8,701.7288888888888
9,833.4531914893616
10,930.2086956521739
11,849.658
12,938.0489361702126
13,1053.9940000000001
14,855.6260000000001
15,1035.2189213483148
16,963.1285714285715
17,1042.428
18,1018.1693877551021
19,1125.6533333333334
20,937.5916666666667
21,1066.459884751773
22,945.5844444444447
23,909.4000000000002
24,965.2576345984112
25,931.0857142857142
26,975.0340000000001
27,1049.6792490118576
28,858.68
29,928.168339869281
30,860.6595744680852
31,852.404
32,989.982
33,1063.16
34,1174.841
35,855.6020833333333
36,971.202
37,1052.8474346748046
38,1111.0379252336447
39,1001.6435507246379
40,988.5039999999999
41,1039.6173913043478
42,963.3571428571427
43,1028.9071689346167
44,876.2041666666665
45,880.2100000000002
46,793.3954233409611
47,766.2819999999999
48,877.5327251552795
49,855.1579999999999
50,785.2145833333334
51,787.608510638298
52,878.5584544573644
53,856.564
54,885.3539999999999
55,1007.699802588287
56,924.2059999999999
57,969.6530612244898
58,950.6654614019523
59,819.1409090909092
60,921.8799999999998
61,914.4744680851067
62,899.885
63,778.9939999999999
64,818.8681739130434
65,827.2920576840294
66,874.01
67,885.8065217391303
68,915.0949613978054
69,972.518
70,1013.9889130434782
71,927.8702127659574
72,1064.72267920094
73,1007.2666666666668
74,1069.0704347826088
75,940.296
76,974.9489361702128
77,1078.072
78,900.6616521739131
79,871.4145833333333
80,928.1229166666666
81,1050.8796470588234
82,949.8591670439112
83,1040.4437301946584
84,1134.395918367347
85,1199.8200000000002
86,1000.75
87,1127.902
88,907.0122448979591
89,954.3500736919675
90,980.2359999999999
91,1154.108
92,989.2325227963526
93,791.484
94,680.7011630321911
95,759.55625
96,1001.4110000000001
97,852.5260000000001
98,1018.9897959183673
99,864.8960000000001
100,889.0459627329191
101,768.6399999999999
102,812.8760000000001
103,949.83
104,882.5779999999999
105,929.8188558352404
106,789.8140000000002
107,867.3679999999999
108,909.166
109,867.5485493230175
110,947.9229999999999
111,1026.185103969754
112,761.3541666666666
113,896.757
114,758.038
115,955.196
116,771.878
117,848.9989496824618
118,828.3739999999999
119,794.8467685076382
120,725.4959999999999
121,842.44609929078
122,751.0565217391304
123,706.498
124,764.5983034647552
125,776.5080000000002
126,818.528
127,774.438
128,785.3617021276598
129,936.4109375000002
130,721.2039999999998
131,803.6437499999998
132,907.8132653061224
133,772.442
134,963.586
135,863.2439999999999
136,856.418
137,894.3960000000001
138,610.0859999999999
139,641.7673469387755
140,513.3026904864399
141,555.5222222222222
142,725.428
143,706.682
144,718.0777777777778
145,786.9703296703296
146,784.19375
147,956.6610000000001
148,913.9237465329635
149,873.7239130434782
150,971.37
151,841.9839999999999
152,800.6299999999999
153,828.4220000000001
154,657.6200401472064
155,613.665306122449
156,797.0178302900108
157,684.3468085106383
158,761.1039999999999
159,747.33
160,742.9449831649831
161,706.5545454545455
162,769.227659574468
163,727.3499999999999
164,506.2659574468085
165,764.364
166,703.5820000000001
167,672.7065217391304
168,671.1059999999999
169,827.1704365079364
170,790.1958333333333
171,793.473469387755
172,744.388
173,778.5160000000001
174,890.546
175,738.3660000000001
176,661.0761363636364
177,601.8503952569171
178,561.336
179,767.019387755102
180,757.35
181,895.8479166666666
182,855.9259999999999
183,793.3681818181819
184,724.9976744186047
185,780.3539999999999
186,887.038
187,841.0387755102041
188,775.038
189,663.5760869565216
190,612.9256510416666
191,567.9729166666667
192,746.7752908756888
193,605.546
194,549.1826086956522
195,721.265
196,842.1244897959185
197,789.1160000000001
198,775.5920000000001
199,826.886
200,809.9033744855967
201,850.3829787234042
202,830.786
203,770.1551020408162
204,753.2406666666667
205,827.2139999999999
206,733.1979999999999
207,820.416
208,697.594
209,896.9800000000001
210,664.942
211,581.7574460801096
212,563.4333333333333
213,781.0190000000001
214,747.625
215,832.4490000000001
216,731.566
217,912.0693877551022
218,773.3808253968252
219,822.388372093023
220,805.8579999999998
221,742.786
222,822.3591836734694
223,769.96
224,766.0139999999999
225,799.1370000000002
226,663.878
227,793.6104166666665
228,639.708695652174
229,788.3420000000001
230,739.1220000000001
231,797.5095537190083
232,625.063829787234
233,698.125
234,726.7080000000001
235,684.8620000000001
236,742.5880000000001
237,880.8948979591838
238,653.5382978723403
239,760.5020408163265
240,660.84
241,836.5779999999999
242,721.174
243,490.57
244,616.0020408163265
245,695.094
246,672.5479999999999
247,714.875
248,557.1331294597348
249,611.6439999999999
250,736.1354166666666
251,693.0285714285716
252,742.9498106060606
253,735.1677500000001
254,807.1731770833334
255,650.478
256,632.5510204081633
257,540.1934782608695
258,703.8919958216006
259,668.1869565217391
260,644.044
261,484.2127659574469
262,547.43
263,665.3145833333333
264,806.3338947368422
265,621.1282608695652
266,588.686
267,513.2140360873693
268,510.64375
269,572.202
270,579.5983695652175
271,569.6619999999999
272,695.2877551020408
273,645.7919999999999
274,561.6636645962734
275,588.18
276,684.6239130434782
277,571.0543702375616
278,551.2560975609757
279,746.0412645667475
280,704.4214285714286
281,681.0169999999998
282,751.604
283,689.304
284,600.588
285,585.3395833333334
286,833.11
287,656.918
288,797.1260000000001
289,706.5528997289973
290,665.4833333333333
291,686.9666666666666
292,545.0695652173911
293,672.0312144529943
294,795.825
295,729.7020000000001
296,597.0702127659574
297,565.404255319149
298,668.5608695652173
299,771.4809999999999
300,763.6624155405406
301,645.6409090909091
302,737.9744680851064
303,708.9632653061226
304,672.789
305,820.5129999999999
306,772.5413865546217
307,624.8541666666666
308,666.7080000000001
309,689.128
310,729.0856839872747
311,747.9489361702128
312,688.8564117308797
313,597.3
314,723.48
315,622.4067774936062
316,522.938
317,583.938
318,600.2591836734694
319,488.59673913043474
320,586.852
321,804.5206364829397
322,675.2978723404256
323,592.4598039215687
324,616.38
325,787.2959999999999
326,715.7669999999998
327,543.414
328,724.0891304347825
329,735.0697674418604
330,802.3249999999999
331,741.9919999999998
332,892.6510204081633
333,766.4832125603863
334,737.0723404255319
335,796.336
336,587.0303
337,805.8702058345864
338,831.9429523141654
339,805.1995792426367
340,753.1183673469388
341,606.4856259370315
342,692.7020000000001
343,809.426
344,834.0239999999999
345,742.3424901185771
346,655.9854166666665
347,846.7702040816326
348,742.1921448087433
349,569.7604166666666
350,755.285743174924
351,751.2
352,634.4576326530612
