TR,pupilSize
180,1381.2309986253806
181,1291.5418837923762
182,1191.9129933231222
183,1199.4661427198894
184,1226.0485469166285
185,1192.978076060331
186,1165.265717400481
187,1214.3634204393602
188,1285.4405646761577
189,1280.6967883883037
190,1223.0123586912503
191,1208.1249597430215
192,1248.8225069416133
193,1271.2679465485462
194,1237.2619264974135
195,1187.3934455430797
196,1190.3070909291328
197,1222.7413304654292
198,1187.314026288826
199,1091.7605659739138
200,1066.399061444402
201,1175.6240193267977
202,1324.654657077904
203,1404.3033915615463
204,1377.3554540168943
205,1280.918877224973
206,1165.4546088502323
207,1101.0277717411138
208,1112.7742093835075
209,1113.5060003377027
210,1033.7894687677983
211,914.5730605844644
212,867.0429939123808
213,944.0261847413815
214,1056.1253586467308
215,1129.7417884018148
216,1162.7785389297187
217,1157.0596656704613
218,1121.7344802676553
219,1107.5282752902276
220,1135.2867425699087
221,1160.882053432182
222,1154.5677426334714
223,1138.019952698824
224,1152.4111765184887
225,1209.8753177726076
226,1268.505893254919
227,1263.3198323046126
228,1194.7961218844948
229,1140.0433368451081
230,1162.2580369229827
231,1237.753892641417
232,1278.6087691166758
233,1227.7185657559255
234,1136.4429851310356
235,1095.303110140052
236,1106.5547957800593
237,1089.9084447957327
238,1034.6970822655435
239,1020.1845408156717
240,1085.0250308126022
241,1156.890362733811
242,1165.2218613699704
243,1144.7805846804356
244,1154.727864501456
245,1134.7361745153719
246,1002.4551242597465
247,851.7961631403252
248,835.2908050090282
249,939.0801463489545
250,1061.3012675771229
251,1128.2410127239177
252,1134.2403537282567
253,1144.524167097654
254,1194.889868644876
255,1242.6022191601471
256,1232.087976296262
257,1176.6352181145785
258,1145.1289383104233
259,1184.4868401368287
260,1238.8086770901775
261,1218.8489011921217
262,1129.998558974112
263,1047.7976276286668
264,1031.4511133170747
265,1076.065028092541
266,1143.0184731708218
267,1240.461706829065
268,1355.2559182827654
269,1420.0186416163465
270,1416.4516377765995
271,1392.9461977412748
272,1374.9400290939357
273,1373.7821892935908
274,1368.1020446155628
275,1323.6688253246593
276,1237.7809695411568
277,1145.3998713218323
278,1088.7215538703294
279,1108.32800534842
280,1204.131704867441
281,1265.8748044389163
282,1209.3976880930375
283,1120.800985469863
284,1106.3926111565509
285,1155.545440985456
286,1212.78679050655
287,1250.483784347918
288,1252.4538083270882
289,1201.474266396451
290,1086.505312860784
291,970.5419224635633
292,959.4318559564705
293,1053.1642482863274
294,1158.4413293052137
295,1224.354186469393
296,1277.9018861360794
297,1302.1612743187432
298,1228.3875458504524
299,1100.2021538931917
300,1039.4135223940602
301,1079.3065531378074
302,1141.3597474046558
303,1137.547076659436
304,1048.3442890694378
305,972.3388966307134
306,1023.1492228937003
307,1173.3581371799598
308,1336.1083688602148
309,1432.9570221612087
310,1437.5110808639154
311,1404.4861107626532
312,1367.3707629476442
313,1329.3311685947724
314,1327.4888509571877
315,1381.8482871992244
316,1434.1851722159827
317,1425.7016828086855
318,1392.4316599002686
319,1408.8269876852555
320,1416.568896942388
