TR,pupilSize
1,976.7353610005918
2,2251.886164785966
3,2631.0658728324734
4,2449.507505133532
5,2092.7571993180945
6,1837.6455333489157
7,1772.275650239817
8,1738.8826862345625
9,1522.5980363564322
10,1120.7280844535023
11,750.6658293744332
12,640.9043355732316
13,801.6953101156719
14,1032.33164567912
15,1105.624318101645
16,1024.539141713168
17,964.5493497446232
18,960.5144165217893
19,954.1146763826674
20,931.1389491035246
21,894.1309688462756
22,785.1631257237112
23,590.6588951039827
24,419.48771186870135
25,317.6917519457178
26,230.05063498965146
27,92.17221591188742
28,-52.72981255084653
29,-33.23622844775311
30,180.9594319287118
31,339.70889722140794
32,227.26913121619404
33,-36.19707278006546
34,-234.70608225652828
35,-322.1779213907829
36,-369.50543314841013
37,-362.2168868755502
38,-249.2621573093347
39,-139.2928312712869
40,-168.6539969082738
41,-234.60810318114625
42,-195.45078147152452
43,-122.05338360679207
44,-138.43125891924686
45,-246.1658897404964
46,-364.602108768156
47,-448.0001717815892
48,-467.3022124104953
49,-413.4280662577517
50,-378.5141320648781
51,-402.0540565956853
52,-472.7140614702015
53,-551.8523612040158
54,-552.9170185581421
55,-446.8437013001798
56,-293.82317550908766
57,-164.96102224584928
58,-100.68759245401264
59,-94.5735683137791
60,-147.76047838811738
61,-270.49302099552193
62,-432.4358032700563
63,-584.702816855492
64,-632.3945593167955
65,-513.6219422403086
66,-305.507974807108
67,-124.41047637810556
68,-27.492633246656627
69,15.749663515027665
70,77.24006105417185
71,271.6347176347076
72,568.1406454752888
73,712.2498786341646
74,523.2661436688495
75,152.8471787842442
76,-76.63776471390527
77,-49.12913994830531
78,65.0081669571488
79,116.21239193630738
80,64.49834861707858
81,-33.0511608067541
82,-83.58917759588807
83,-29.568352673619824
84,82.16948582250252
85,130.9236248916367
86,43.34491776262696
87,-138.11578679814346
88,-305.7267813123566
89,-355.1460179111478
90,-258.7959767106269
91,-105.30401471857522
92,-18.12388216580674
93,-86.19723987049754
94,-200.95439158328668
95,-217.44522931628015
96,-150.69501647258232
97,-97.79775181861388
98,-107.19857057142006
99,-127.00135328617694
100,-84.0239544148743
101,85.43912855423315
102,305.63526109359634
103,422.9711902559257
104,371.3223459164983
105,274.11141077929375
106,266.893939409454
107,334.0892984255811
108,381.9388601599132
109,306.24394428562215
110,154.70701948910403
111,60.37850944806509
112,76.23440040414916
113,158.05854972075724
114,183.3083041321102
115,66.49937688207972
116,-94.04544797441048
117,-101.34595489048455
118,84.43189821749897
119,282.7832156465129
120,311.03566199242965
121,163.6263727150517
122,-34.02455305692949
123,-168.5283227148382
124,-195.2262464068087
125,-160.3767755433386
126,-86.64051689538628
127,12.097201389852483
128,105.17459680399836
129,117.64921714572245
130,21.41499191189191
131,-61.27803142400056
132,-87.86162676114347
133,-111.60539261942637
134,-106.48276175179564
135,-62.832312477495535
136,-89.33300379978243
137,-194.15563342261888
138,-287.21216289536454
139,-303.1474898124579
140,-257.4262340709895
141,-216.16454293613452
142,-193.06179116103817
143,-140.47261532811518
144,-55.98982371825588
145,22.640749869056346
146,36.62893147445027
147,9.482882677260234
148,26.349007756120603
149,40.99790546708536
150,-56.11567223293996
151,-172.50936948868687
152,-149.5134291162566
153,-12.460341296598628
154,73.87508376768044
155,25.121394225250285
156,-30.954275121187937
157,51.59626117318125
158,276.96629169048856
159,495.94218097202565
160,523.5317070847665
161,316.7641532875057
162,20.934239441237313
163,-152.90687370658316
164,-129.31535658015892
165,-72.10079173119576
166,-97.78674284685134
167,-112.39810397636212
168,-16.68172715048589
169,145.6254446252232
170,262.41841426930677
171,211.7425024690912
172,47.2095997305931
173,-52.61756876344155
174,25.55980669485381
175,189.41407919758728
176,291.8776942347321
177,283.6322802198564
178,200.7282533631262
179,71.7797421510834
180,-78.56126547247223
181,-275.44322272317476
182,-430.52061223060855
183,-387.28198555576955
184,-197.55040830647928
185,-51.10533971017842
186,-48.11061639445329
187,-120.07916794388495
188,-181.15518654573535
189,-248.25278392123016
190,-336.70939002823513
