event_id,1,2,3,4,5,6,7,8
1,0.0,0.6723577,0.60141146,0.64332414,0.63068557,0.687992,0.55309343,0.28994948
2,0.6723577,0.0,0.64903957,0.6079428,0.5897702,0.56849146,0.6015685,0.31064683
3,0.60141146,0.64903957,0.0,0.4944671,0.5045139,0.5317417,0.5833839,0.39487737
4,0.64332414,0.6079428,0.4944671,0.0,0.64326787,0.6361331,0.6315328,0.27202958
5,0.63068557,0.5897702,0.5045139,0.64326787,0.0,0.7081775,0.5654466,0.29445392
6,0.687992,0.56849146,0.5317417,0.6361331,0.7081775,0.0,0.5670475,0.26912475
7,0.55309343,0.6015685,0.5833839,0.6315328,0.5654466,0.5670475,0.0,0.30404472
8,0.28994948,0.31064683,0.39487737,0.27202958,0.29445392,0.26912475,0.30404472,0.0
