event_id,1,2,3,4,5,6,7
1,0.0,0.43977004,0.5178471,0.38411838,0.54079527,0.54160583,0.39060846
2,0.43977004,0.0,0.5891877,0.48220366,0.27582127,0.33032182,0.3465739
3,0.5178471,0.5891877,0.0,0.44391108,0.3725075,0.39329338,0.37470698
4,0.38411838,0.48220366,0.44391108,0.0,0.17990837,0.38348168,0.35736018
5,0.54079527,0.27582127,0.3725075,0.17990837,0.0,0.43870997,0.29312336
6,0.54160583,0.33032182,0.39329338,0.38348168,0.43870997,0.0,0.5477668
7,0.39060846,0.3465739,0.37470698,0.35736018,0.29312336,0.5477668,0.0
