subject,story,order,valence,story_start_sec,story_end_sec,story_duration_sec,mean_pupil_size,z_pupil
1025,Grandfather Clocks,4,neutral,0,535,535,503.92746745033554,-1.2288128046100344
1025,Impatient Billionaire,5,positive,537,867,330,2283.538416201987,1.2206359944727174
1025,Dont Look,6,negative,869,1579,710,1402.6440532882677,0.00817681013731716
