story,event_num,isc_r,p
Pool Party,1,0.29533247982149485,0.0003999200159968006
Pool Party,2,0.37857773903320735,0.005398920215956809
Pool Party,3,0.11803186203412759,0.17956408718256348
Pool Party,4,0.01159953304717003,0.8780243951209759
Pool Party,5,0.1244734334361637,0.118376324735053
Pool Party,6,0.03505137478359196,0.6436712657468506
Pool Party,7,0.2311943439998126,0.010397920415916816
Pool Party,8,0.08202668949871238,0.2559488102379524
Pool Party,9,0.135741946709349,0.22435512897420515
Pool Party,10,-0.02862873985282867,1.383123375324935
Pool Party,11,0.11146512644455986,0.22515496900619875
Pool Party,12,0.22031844015892185,0.029994001199760048
Pool Party,13,-0.14640171619280906,1.8810237952409516
Pool Party,14,-0.06414546423363107,1.448110377924415
Pool Party,15,0.08394611210187099,0.30853829234153174
Pool Party,16,0.10767973129922687,0.25934813037392523
Pool Party,17,0.02293704062558902,0.8222355528894221
Pool Party,18,0.15035912595258405,0.011597680463907219
Pool Party,19,0.11412758311272059,0.1271745650869826
Pool Party,20,0.09197851212446786,0.2595480903819236
Sea Ice,1,0.009038789429495398,0.9348130373925214
Sea Ice,2,0.1471107494602516,0.017996400719856028
Sea Ice,3,0.15350298664651632,0.13637272545490903
Sea Ice,4,-0.08982519185752542,1.7210557888422315
Sea Ice,5,0.015355830028193396,0.8492301539692062
Sea Ice,6,0.09454132528989324,0.4159168166366727
Sea Ice,7,-0.006311566017621661,1.060587882423515
Sea Ice,8,0.23430186360115293,0.009198160367926415
Sea Ice,9,0.028281503077091666,0.75124975004999
Sea Ice,10,0.17389342277952916,0.014997000599880024
Sea Ice,11,0.12228262389262418,0.3529294141171766
Sea Ice,12,-0.18042879374035084,1.9978004399120177
Sea Ice,13,-0.0460551098901243,1.4459108178364328
Sea Ice,14,-0.13275126808565924,1.9776044791041791
Sea Ice,15,-0.006468554317878182,1.0635872825434913
Sea Ice,16,-0.2704485370883872,1.999000199960008
Sea Ice,17,-0.16751376434522428,1.986002799440112
Sea Ice,18,0.16258914802356905,0.03479304139172165
Sea Ice,19,-0.19369400168168155,1.999000199960008
Sea Ice,20,-0.042122295592778254,1.41751649670066
Sea Ice,21,0.0642668026237087,0.5226954609078185
Sea Ice,22,0.165070557874923,0.13877224555088982
Sea Ice,23,0.020453763776091732,0.7254549090181963
Natalie Wood,1,0.18943243654370925,0.004799040191961607
Natalie Wood,2,0.08200901258191147,0.2881423715256949
Natalie Wood,3,-0.0070453128424838194,1.0581883623275345
Natalie Wood,4,-0.13257308298589765,1.6888622275544891
Natalie Wood,5,0.010490786997686697,0.9212157568486303
Natalie Wood,6,0.15729212492941222,0.013597280543891222
Natalie Wood,7,0.1829844659920239,0.17816436712657469
Natalie Wood,8,-0.11025394332009947,1.9834033193361327
Natalie Wood,9,0.13557407108060388,0.11217756448710259
Natalie Wood,10,-0.07320327715558543,1.6146770645870827
Natalie Wood,11,0.3157252482316065,0.05338932213557289
Natalie Wood,12,0.2936546665031938,0.0007998400319936012
Natalie Wood,13,-0.36420613274892266,2.0
Natalie Wood,14,0.04450580796416877,0.6454709058188361
Natalie Wood,15,0.03366485980012409,0.7526494701059788
Natalie Wood,16,0.536936850893501,0.0003999200159968006
Natalie Wood,17,0.16458290377865317,0.22055588882223554
Natalie Wood,18,0.03062751748080504,0.569886022795441
Natalie Wood,19,0.17976343243062431,0.07538492301539693
Natalie Wood,20,0.05929156315886077,0.3495300939812037
Natalie Wood,21,0.023824902110186504,0.8276344731053789
Natalie Wood,22,0.2339021715070394,0.03499300139972006
Natalie Wood,23,-0.04914393607098532,1.2999400119976006
Natalie Wood,24,0.18752837036888748,0.05918816236752649
Natalie Wood,25,0.21185769979245428,0.046590681863627276
Natalie Wood,26,0.033887894194504053,0.5674865026994601
Natalie Wood,27,0.3163971896768981,0.0003999200159968006
Natalie Wood,28,0.14411195603941865,0.0621875624875025
Natalie Wood,29,-0.11408598876918737,1.8834233153369326
Natalie Wood,30,0.003504881498360839,0.9758048390321936
Natalie Wood,31,-0.10188101956443044,1.6760647870425913
Natalie Wood,32,0.12197013566515762,0.08218356328734253
Natalie Wood,33,0.46170224341193317,0.0009998000399920016
Natalie Wood,34,0.25882878177897295,0.0657868426314737
Natalie Wood,35,0.21141092628247155,0.10137972405518897
Natalie Wood,36,0.3073086384024189,0.0003999200159968006
Natalie Wood,37,-0.028673189910590872,1.2955408918216356
Natalie Wood,38,0.45695084431232436,0.0003999200159968006
Natalie Wood,39,-0.08876857087121416,1.8510297940411917
Natalie Wood,40,0.3190400645208923,0.007598480303939212
Natalie Wood,41,-0.022102214655012577,1.2481503699260148
Natalie Wood,42,-0.0174311281806162,1.1151769646070786
Natalie Wood,43,0.050635766878864244,0.35972805438912214
Natalie Wood,44,0.01099268060865142,0.896620675864827
Natalie Wood,45,-0.007766468066014091,1.0643871225754848
Natalie Wood,46,0.14174955586275628,0.0605878824235153
Natalie Wood,47,0.06366701466278143,0.3371325734853029
Natalie Wood,48,0.13306056276601452,0.1319736052789442
Natalie Wood,49,0.1157070987617436,0.11477704459108179
Natalie Wood,50,0.12023418814671233,0.27534493101379726
Natalie Wood,51,0.12284303375118352,0.0687862427514497
Natalie Wood,52,0.14682371627696816,0.09398120375924815
Natalie Wood,53,0.15385349591289368,0.16196760647870426
Natalie Wood,54,0.04810371382408913,0.6598680263947211
Natalie Wood,55,0.18255443344326958,0.08998200359928014
