subject,story,valence,story_start_sec,story_end_sec,story_duration_sec,mean_pupil_size,z_pupil
1033,Sea Ice,neutral,0,381,381,1167.3207361177833,1.3843089817706515
1033,Dont Look,negative,383,1093,710,1126.9988402714444,-0.9426868884746147
1033,Impatient Billionaire,positive,1095,1425,330,1135.6812289004063,-0.4416220932960107
