subject,story,valence,story_start_sec,story_end_sec,story_duration_sec,mean_pupil_size,z_pupil
1023,Dont Look,negative,0,710,710,1697.902832504522,1.8282423994770256
1023,Pool Party,positive,712,1086,374,1474.3100577561493,0.15786071703739013
1023,Grandfather Clocks,neutral,1088,1623,535,1403.4969797781696,-0.37115847181923756
1023,Impatient Billionaire,positive,1625,1955,330,1303.7457969454342,-1.1163638962476532
1023,Natalie Wood,negative,1957,2772,815,1386.4405784205692,-0.4985807484475283
