subject,story,valence,story_start_sec,story_end_sec,story_duration_sec,mean_pupil_size,z_pupil
1031,Pool Party,positive,0,374,374,1988.1949049980371,1.3376371995204233
1031,Sea Ice,neutral,376,757,381,1833.5150641629045,-0.271269807981942
1031,Natalie Wood,negative,759,1574,815,1757.0746191282065,-1.0663673915384884
