subject,story,valence,story_start_sec,story_end_sec,story_duration_sec,mean_pupil_size,z_pupil
1003,Sea Ice,neutral,0,381,381,7305.41747330772,-1.0000000000000013
1003,Dont Look,negative,383,1093,710,7971.669410217101,0.9999999999999987
