subject,story,valence,story_start_sec,story_end_sec,story_duration_sec,mean_pupil_size,z_pupil
1009,Sea Ice,neutral,0,381,381,2174.9517163844926,0.9999999999999921
1009,Dont Look,negative,383,1093,710,2117.1900220665984,-1.0000000000000078
