subject,story,valence,story_start_sec,story_end_sec,story_duration_sec,mean_pupil_size,z_pupil
1032,Dont Look,negative,0,710,710,1465.5248518908274,1.0
1032,Pool Party,positive,712,1086,374,1444.8997398028755,-1.0
