subject,group,run,story,valence,spectral_centroid
1022,1,run_1,Pool Party,positive,0.06096834504715672
1027,3,run_1,Dont Look,negative,0.05324133540121056
1044,2,run_1,Pool Party,positive,0.05898002110595283
1001,1,run_1,Pool Party,positive,0.05398336886980532
1002,2,run_1,Dont Look,negative,0.040840921282465484
1034,1,run_1,Pool Party,positive,0.0652624218791915
1004,1,run_1,Sea Ice,neutral,0.07805433670665574
1004,1,run_1,Natalie Wood,negative,0.06296951282309593
1017,2,run_1,Dont Look,negative,0.07380818777988189
1002,2,run_1,Pool Party,positive,0.06097123773189796
1044,2,run_1,Grandfather Clocks,neutral,0.05330969709676068
1045,3,run_1,Dont Look,negative,0.056409954070696815
1031,1,run_2,Grandfather Clocks,neutral,0.03532806182428713
1004,1,run_2,Impatient Billionaire,positive,0.08672433589901518
1025,1,run_2,Dont Look,negative,0.04757528115753655
1028,1,run_2,Grandfather Clocks,neutral,0.057757292731325204
1031,1,run_2,Impatient Billionaire,positive,0.040187105639663344
1039,3,run_2,Natalie Wood,negative,0.029373013466062158
1037,1,run_2,Impatient Billionaire,positive,0.02906463876374396
1001,1,run_2,Impatient Billionaire,positive,0.056273937358045124
1020,2,run_2,Sea Ice,neutral,0.05567216562295864
1039,3,run_2,Grandfather Clocks,neutral,0.06238319114894802
1006,3,run_2,Natalie Wood,negative,0.06925201395604663
1034,1,run_2,Impatient Billionaire,positive,0.06491116977487908
1021,3,run_2,Natalie Wood,negative,0.0394141850457013
1001,1,run_2,Grandfather Clocks,neutral,0.047967681176733654
1032,2,run_2,Impatient Billionaire,positive,0.055160989374446856
1029,2,run_2,Natalie Wood,negative,0.05549555482632312
1019,1,run_2,Dont Look,negative,0.07294885074050587
1040,1,run_2,Dont Look,negative,0.05261674780115131
1032,2,run_2,Natalie Wood,negative,0.05349059746637554
1037,1,run_2,Dont Look,negative,0.03876670758587608
1038,2,run_2,Sea Ice,neutral,0.0545856932682579
1006,3,run_2,Pool Party,positive,0.06473612173705012
1025,1,run_2,Grandfather Clocks,neutral,0.057575469079399526
1004,1,run_2,Dont Look,negative,0.05538538893917109
1035,2,run_2,Impatient Billionaire,positive,0.07385884407267124
1041,2,run_2,Natalie Wood,negative,0.05216885198936039
1037,1,run_2,Grandfather Clocks,neutral,0.035349003615874626
1003,3,run_2,Natalie Wood,negative,0.08082282006566548
1001,1,run_2,Dont Look,negative,0.05195964355374508
1018,3,run_2,Natalie Wood,negative,0.07259482046663429
1029,2,run_2,Impatient Billionaire,positive,0.06066539251907331
1027,3,run_2,Natalie Wood,negative,0.05266424034540086
1043,1,run_2,Grandfather Clocks,neutral,0.056025062115674186
1024,3,run_2,Pool Party,positive,0.06129838013254959
1021,3,run_2,Grandfather Clocks,neutral,0.06540429537795656
1028,1,run_2,Impatient Billionaire,positive,0.06180408928757616
1023,2,run_2,Sea Ice,neutral,0.06839479876508807
1044,2,run_2,Natalie Wood,negative,0.05422963132052212
1027,3,run_2,Grandfather Clocks,neutral,0.06333507376873958
1019,1,run_2,Grandfather Clocks,neutral,0.06320233049111111
1039,3,run_2,Pool Party,positive,0.06810852245870992
1042,3,run_2,Natalie Wood,negative,0.06411748457969556
1015,3,run_2,Natalie Wood,negative,0.042585649894099506
1003,3,run_2,Grandfather Clocks,neutral,0.07044180965878029
1024,3,run_2,Natalie Wood,negative,0.05387448544485796
1041,2,run_2,Sea Ice,neutral,0.07172836680796339
1028,1,run_2,Dont Look,negative,0.05320461423916438
1019,1,run_2,Impatient Billionaire,positive,0.06307077175966117
1006,3,run_2,Grandfather Clocks,neutral,0.0541381950082301
1040,1,run_2,Grandfather Clocks,neutral,0.05455090859654195
1030,3,run_2,Natalie Wood,negative,0.07593767637370256
1034,1,run_2,Dont Look,negative,0.06219023978968923
1043,1,run_2,Dont Look,negative,0.056208257520026964
1030,3,run_2,Grandfather Clocks,neutral,0.07676507757106217
1030,3,run_2,Pool Party,positive,0.07105816559975213
1038,2,run_2,Natalie Wood,negative,0.05905932111186125
1023,2,run_2,Natalie Wood,negative,0.0656012582227549
1024,3,run_2,Grandfather Clocks,neutral,0.0540389255257083
1045,3,run_2,Grandfather Clocks,neutral,0.055165043271201
1020,2,run_2,Natalie Wood,negative,0.04820021342350392
1018,3,run_2,Pool Party,positive,0.0695996245436652
1021,3,run_2,Pool Party,positive,0.05073124763486982
1035,2,run_2,Natalie Wood,negative,0.0793791165821697
1032,2,run_2,Sea Ice,neutral,0.05188863912297989
1038,2,run_2,Impatient Billionaire,positive,0.03237521954024989
1012,3,run_2,Grandfather Clocks,neutral,0.05164505273527701
1015,3,run_2,Grandfather Clocks,neutral,0.048472063446728234
1026,2,run_2,Impatient Billionaire,positive,0.0691968253034706
1026,2,run_2,Natalie Wood,negative,0.054201608148292724
1003,3,run_2,Pool Party,positive,0.06749142654253484
1043,1,run_2,Impatient Billionaire,positive,0.05539958112342178
1040,1,run_2,Impatient Billionaire,positive,0.0629238530195245
1017,2,run_2,Natalie Wood,negative,0.060019363307641876
1015,3,run_2,Pool Party,positive,0.04692790489165173
1023,2,run_2,Impatient Billionaire,positive,0.05985582021067321
1045,3,run_2,Pool Party,positive,0.053405130995085995
1042,3,run_2,Grandfather Clocks,neutral,0.07403122363804127
1010,1,run_2,Dont Look,negative,0.06528168243092518
1004,1,run_2,Grandfather Clocks,neutral,0.0731733518935584
1017,2,run_2,Impatient Billionaire,positive,0.07103685848036997
1020,2,run_2,Impatient Billionaire,positive,0.061632211157479015
