time_in_ms,pupilSize_clean
0.0,1625.5
20.0,1629.7
40.0,1629.8
60.0,1629.5
80.0,1630.6
100.0,1630.5
120.0,1633.5
140.0,1634.4
160.0,1634.8
180.0,1637.2
200.0,1635.2
220.0,1635.9
240.0,1638.7
260.0,1642.9
280.0,1640.2
300.0,1640.3
320.0,1640.4
340.0,1640.8
360.0,1646.2
380.0,1646.9
400.0,1647.3
420.0,1646.5
440.0,1643.5
460.0,1643.1
480.0,1641.2
500.0,1642.5
520.0,1639.6
540.0,1636.5
560.0,1630.2
580.0,1631.4
600.0,1626.6
620.0,1623.6
640.0,1626.0
660.0,1622.2
680.0,1623.2
700.0,1621.8
720.0,1618.8
740.0,1612.9
760.0,1606.4
780.0,1607.0
800.0,1601.6
820.0,1597.6
840.0,1596.5
860.0,1583.8
880.0,1575.6
900.0,1563.6
920.0,1554.5
940.0,1544.8
960.0,1534.0
980.0,1524.0
1000.0,1517.0
1020.0,1506.6
1040.0,1497.8
1060.0,1488.2
1080.0,1485.2
1100.0,1479.1
1120.0,1471.9
1140.0,1469.8
1160.0,1465.2
1180.0,1459.6
1200.0,1460.2
1220.0,1454.2
1240.0,1449.8
1260.0,1452.6
1280.0,1451.7
1300.0,1452.8
1320.0,1449.2
1340.0,1451.6
1360.0,1458.3
1380.0,1459.3
1400.0,1461.0
1420.0,1467.0
1440.0,1473.8
1460.0,1063.6463414634147
1480.0,1002.0243902439024
1500.0,1023.0
1520.0,1043.9756097560976
1540.0,1069.5536585365853
1560.0,1441.0
1580.0,1528.4
1600.0,1500.3
1620.0,1506.5
1640.0,1512.0
1660.0,1517.2
1680.0,1519.5
1700.0,1526.8
1720.0,1526.7
1740.0,1530.1
1760.0,1532.7
1780.0,1538.4
1800.0,1543.0
1820.0,1543.4
1840.0,1548.4
1860.0,1549.0
1880.0,1547.8
1900.0,1546.5
1920.0,1544.4
1940.0,1539.9
1960.0,1532.7
1980.0,1525.5
2000.0,1524.6
2020.0,1519.1
2040.0,1521.8
2060.0,1518.9
2080.0,1513.4
2100.0,1512.8
2120.0,1512.0
2140.0,1511.8
2160.0,1512.8
2180.0,1515.4
2200.0,1516.8
2220.0,1519.7
2240.0,1517.6
2260.0,1524.4
2280.0,1526.9
2300.0,1528.6
2320.0,1529.3
2340.0,1536.1
2360.0,1538.3
2380.0,1541.6
2400.0,1544.3
2420.0,1548.6
2440.0,1551.6
2460.0,1554.9
2480.0,1556.3
2500.0,1566.1
2520.0,1570.4
2540.0,1579.5
2560.0,1583.4
2580.0,1588.4
2600.0,1596.8
2620.0,1592.2
2640.0,1602.6
2660.0,1609.5
2680.0,1619.8
2700.0,1621.3
2720.0,1627.4
2740.0,1626.0
2760.0,1633.5
2780.0,1630.8
2800.0,1638.9
2820.0,1640.4
2840.0,1643.9
2860.0,1644.4
2880.0,1637.4
2900.0,1645.3
2920.0,1641.1
2940.0,1643.2
2960.0,1646.6
2980.0,1648.7
3000.0,1654.4
3020.0,1651.8
3040.0,1650.0
3060.0,1648.2
3080.0,1650.5
3100.0,1647.9
3120.0,1646.7
3140.0,1651.9
3160.0,1655.7
3180.0,1653.7
3200.0,1645.7
3220.0,1654.0
3240.0,1644.2
3260.0,1641.0
3280.0,1641.4
3300.0,1631.6
3320.0,1633.3
3340.0,1631.8
3360.0,1628.7
3380.0,1628.3
3400.0,1627.0
3420.0,1628.9
3440.0,1627.5
3460.0,1629.5
3480.0,1629.1
3500.0,1624.6
3520.0,1624.5
3540.0,1626.0
3560.0,1615.2
3580.0,1613.2
3600.0,1607.6
3620.0,1613.6
3640.0,1615.0
3660.0,1612.9
3680.0,1604.2
3700.0,1609.6
3720.0,1606.9
3740.0,1609.1
3760.0,1608.9
3780.0,1605.4
3800.0,1606.6
3820.0,1599.0
3840.0,1602.3
3860.0,1600.9
3880.0,1596.4
3900.0,1597.0
3920.0,1590.7
3940.0,1600.6
3960.0,1601.9
3980.0,1601.6
4000.0,1601.1
4020.0,1596.7
4040.0,1597.4
4060.0,1598.1
4080.0,1581.5
4100.0,1571.6
4120.0,1562.4
4140.0,1565.1
4160.0,1561.7
4180.0,1562.1
4200.0,1554.0
4220.0,1548.4
4240.0,1551.1
4260.0,1552.7
4280.0,1579.9
4300.0,1580.3
4320.0,1588.3
4340.0,1585.7
4360.0,1581.6
4380.0,1584.2
4400.0,1582.8
4420.0,1588.9
4440.0,1594.5
4460.0,1599.2
4480.0,1594.7
4500.0,1601.6
4520.0,1596.5
4540.0,1595.0
4560.0,1599.1
4580.0,1606.0
4600.0,1608.9
4620.0,1604.7
4640.0,1602.3
4660.0,1607.0
4680.0,1606.1
4700.0,1599.7
4720.0,1598.9
4740.0,1613.6
4760.0,1677.5
4780.0,1697.4
4800.0,1641.5
4820.0,1608.5
4840.0,1601.2
4860.0,1603.9
4880.0,1604.0
4900.0,1608.7
4920.0,1611.0
4940.0,1606.3
4960.0,1606.8
4980.0,1601.6
5000.0,1595.7
5020.0,1454.7
5040.0,1059.7133333333334
5060.0,1084.6466666666668
5080.0,1109.58
5100.0,1134.5133333333333
5120.0,1159.4466666666667
5140.0,1184.3799999999999
5160.0,1209.3133333333333
5180.0,1278.6066666666666
5200.0,1577.0
5220.0,1681.2
5240.0,1673.4
5260.0,1652.1
5280.0,1630.5
5300.0,1632.6
5320.0,1635.0
5340.0,1632.9
5360.0,1635.3
5380.0,1639.9
5400.0,1640.0
5420.0,1652.5
5440.0,1408.404
5460.0,1217.3066666666666
5480.0,1202.3733333333334
5500.0,1187.44
5520.0,1172.5066666666667
5540.0,1157.5733333333333
5560.0,1142.6399999999999
5580.0,1127.7066666666667
5600.0,1334.5493333333334
5620.0,1569.2
5640.0,1639.0
5660.0,1607.4
5680.0,1585.1
5700.0,1569.9
5720.0,1568.0
5740.0,1566.4
5760.0,1565.4
5780.0,1565.4
5800.0,1568.9
5820.0,1575.4
5840.0,1577.8
5860.0,1584.4
5880.0,1587.7
5900.0,1588.9
5920.0,1584.9
5940.0,1590.0
5960.0,1365.2
5980.0,958.1379310344828
6000.0,980.2068965517241
6020.0,1002.2758620689656
6040.0,1024.344827586207
6060.0,1046.4137931034481
6080.0,1090.6206896551726
6100.0,1461.3
6120.0,1593.2
6140.0,1566.1
6160.0,1539.5
6180.0,1516.8
6200.0,1519.9
6220.0,1520.8
6240.0,1517.4
6260.0,1510.4
6280.0,1508.9
6300.0,1511.4
6320.0,1516.3
6340.0,1516.7
6360.0,1514.8
6380.0,1511.7
6400.0,1509.5
6420.0,1510.6
6440.0,1510.5
6460.0,1504.1
6480.0,1497.9
6500.0,1492.2
6520.0,1491.0
6540.0,1486.8
6560.0,1481.6
6580.0,1478.3
6600.0,1466.9
6620.0,1466.3
6640.0,1461.6
6660.0,1461.9
6680.0,1462.0
6700.0,1471.6
6720.0,1469.3
6740.0,1472.3
6760.0,1476.4
6780.0,1478.0
6800.0,1491.2
6820.0,1488.8
6840.0,1497.9
6860.0,1494.4
6880.0,1499.3
6900.0,1505.1
6920.0,1501.5
6940.0,1396.9
6960.0,1041.642857142857
6980.0,1056.404761904762
7000.0,1071.1666666666665
7020.0,1085.9285714285713
7040.0,1100.6904761904761
7060.0,1115.452380952381
7080.0,1143.5142857142857
7100.0,1419.9
7120.0,1563.0
7140.0,1587.9
7160.0,1568.6
7180.0,1551.3
7200.0,1560.4
7220.0,1568.5
7240.0,1568.6
7260.0,1578.3
7280.0,1583.4
7300.0,1591.0
7320.0,1595.1
7340.0,1602.1
7360.0,1601.3
7380.0,1609.6
7400.0,1606.0
7420.0,1611.3
7440.0,1607.4
7460.0,1607.2
7480.0,1603.1
7500.0,1606.2
7520.0,1602.4
7540.0,1599.2
7560.0,1589.8
7580.0,1585.3
7600.0,1586.1
7620.0,1583.1
7640.0,1584.0
7660.0,1575.7
7680.0,1572.9
7700.0,1574.6
7720.0,1568.4
7740.0,1579.2
7760.0,1170.2111111111112
7780.0,1031.3055555555554
7800.0,1027.4166666666665
7820.0,1023.5277777777777
7840.0,1019.6388888888889
7860.0,1015.75
7880.0,1011.8611111111111
7900.0,1031.1888888888889
7920.0,1381.7
7940.0,1581.9
7960.0,1643.3
7980.0,1600.2
8000.0,1585.9
8020.0,1583.8
8040.0,1585.0
8060.0,1591.6
8080.0,1595.4
8100.0,1598.1
8120.0,1600.1
8140.0,1602.9
8160.0,1609.7
8180.0,1613.9
8200.0,1622.5
8220.0,1623.9
8240.0,1644.5
8260.0,1190.5865853658536
8280.0,1042.5060975609756
8300.0,1067.75
8320.0,1092.9939024390244
8340.0,1118.2378048780488
8360.0,1143.4817073170732
8380.0,1168.7256097560976
8400.0,1193.969512195122
8420.0,1217.5987804878048
8440.0,1506.6
8460.0,1639.5
8480.0,1643.6
8500.0,1610.5
8520.0,1591.8
8540.0,1589.6
8560.0,1589.8
8580.0,1588.1
8600.0,1586.4
8620.0,1590.1
8640.0,1590.7
8660.0,1592.1
8680.0,1592.0
8700.0,1591.3
8720.0,1583.1
8740.0,1573.1
8760.0,1558.9
8780.0,1544.2
8800.0,1532.0
8820.0,1514.7
8840.0,1503.4
8860.0,1487.0
8880.0,1475.7
8900.0,1460.3
8920.0,1448.4
8940.0,1439.7
8960.0,1432.9
8980.0,1423.9
9000.0,1414.1
9020.0,1408.6
9040.0,1399.0
9060.0,1395.1
9080.0,1388.9
9100.0,1383.5
9120.0,1380.5
9140.0,1377.2
9160.0,1377.6
9180.0,1373.7
9200.0,1369.6
9220.0,1363.4
9240.0,1364.8
9260.0,1361.4
9280.0,1357.1
9300.0,1360.3
9320.0,1355.9
9340.0,1356.6
9360.0,1357.4
9380.0,1348.7
9400.0,1349.6
9420.0,1350.0
9440.0,1341.9
9460.0,1338.2
9480.0,1338.0
9500.0,1335.0
9520.0,1332.4
9540.0,1329.0
9560.0,1325.9
9580.0,1322.5
9600.0,1319.5
9620.0,1314.5
9640.0,1317.7
9660.0,1315.0
9680.0,1315.6
9700.0,1315.6
9720.0,1315.9
9740.0,1314.2
9760.0,1319.2
9780.0,1317.4
9800.0,1319.0
9820.0,1318.5
9840.0,1316.7
9860.0,1325.4
9880.0,1328.5
9900.0,1336.3
9920.0,1344.6
9940.0,1347.7
9960.0,1354.1
9980.0,1355.9
10000.0,1356.5
10020.0,1359.3
10040.0,1361.9
10060.0,1366.0
10080.0,1376.2
10100.0,1378.3
10120.0,1382.2
10140.0,1388.2
10160.0,1396.4
10180.0,1400.6
10200.0,1406.7
10220.0,1414.9
10240.0,1417.3
10260.0,1419.6
10280.0,1426.3
10300.0,1428.2
10320.0,1427.8
10340.0,1434.8
10360.0,1435.8
10380.0,1439.5
10400.0,1442.0
10420.0,1441.3
10440.0,1448.8
10460.0,1449.7
10480.0,1456.8
10500.0,1459.4
10520.0,1458.7
10540.0,1464.7
10560.0,1467.7
10580.0,1473.2
10600.0,1476.9
10620.0,1478.2
10640.0,1484.2
10660.0,1483.8
10680.0,1486.3
10700.0,1489.6
10720.0,1490.2
10740.0,1492.9
10760.0,1496.4
10780.0,1500.2
10800.0,1500.4
10820.0,1502.3
10840.0,1507.9
10860.0,1509.2
10880.0,1511.9
10900.0,1513.5
10920.0,1517.3
10940.0,1516.2
10960.0,1519.7
10980.0,1527.1
11000.0,1528.6
11020.0,1527.7
11040.0,1531.6
11060.0,1532.9
11080.0,1536.4
11100.0,1539.4
11120.0,1539.7
11140.0,1543.6
11160.0,1543.8
11180.0,1544.9
11200.0,1547.9
11220.0,1544.9
11240.0,1545.6
11260.0,1548.2
11280.0,1550.5
11300.0,1549.4
11320.0,1554.1
11340.0,1552.0
11360.0,1552.0
11380.0,1553.6
11400.0,1553.6
11420.0,1558.1
11440.0,1548.8
11460.0,1548.7
11480.0,1546.9
11500.0,1545.4
11520.0,1544.7
11540.0,1543.0
11560.0,1542.8
11580.0,1538.3
11600.0,1538.9
11620.0,1538.2
11640.0,1535.2
11660.0,1538.0
11680.0,1535.0
11700.0,1529.9
11720.0,1530.7
11740.0,1524.4
11760.0,1522.6
11780.0,1523.8
11800.0,1520.2
11820.0,1518.1
11840.0,1513.4
11860.0,1512.3
11880.0,1517.4
11900.0,1516.9
11920.0,1516.8
11940.0,1511.9
11960.0,1511.0
11980.0,1504.6
12000.0,1503.1
12020.0,1497.3
12040.0,1493.2
12060.0,1490.8
12080.0,1487.3
12100.0,1481.2
12120.0,1472.7
12140.0,1463.3
12160.0,1451.2
12180.0,1448.5
12200.0,1435.5
12220.0,1426.9
12240.0,1415.7
12260.0,1406.6
12280.0,1396.6
12300.0,1392.6
12320.0,1384.1
12340.0,1380.6
12360.0,1374.8
12380.0,1373.5
12400.0,1374.9
12420.0,1368.6
12440.0,1366.7
12460.0,1365.7
12480.0,1369.7
12500.0,1371.1
12520.0,1374.7
12540.0,1379.1
12560.0,1387.9
12580.0,1391.6
12600.0,1397.7
12620.0,1405.2
12640.0,1417.6
12660.0,1422.5
12680.0,1429.1
12700.0,1434.1
12720.0,1445.5
12740.0,1449.4
12760.0,1464.8
12780.0,1465.9
12800.0,1475.8
12820.0,1480.9
12840.0,1488.9
12860.0,1488.0
12880.0,1488.9
12900.0,1493.7
12920.0,1492.3
12940.0,1494.7
12960.0,1493.0
12980.0,1495.7
13000.0,1490.2
13020.0,1493.5
13040.0,1490.4
13060.0,1484.3
13080.0,1485.2
13100.0,1482.5
13120.0,1477.6
13140.0,1479.2
13160.0,1473.9
13180.0,1471.1
13200.0,1469.8
13220.0,1467.3
13240.0,1464.7
13260.0,1465.3
13280.0,1465.1
13300.0,1464.7
13320.0,1463.7
13340.0,1464.8
13360.0,1466.2
13380.0,1467.7
13400.0,1470.0
13420.0,1472.4
13440.0,1475.9
13460.0,1475.0
13480.0,1478.4
13500.0,1481.9
13520.0,1485.3
13540.0,1491.5
13560.0,1496.3
13580.0,1499.4
13600.0,1508.2
13620.0,1513.7
13640.0,1515.8
13660.0,1517.8
13680.0,1523.4
13700.0,1528.0
13720.0,1535.3
13740.0,1539.9
13760.0,1545.5
13780.0,1552.0
13800.0,1560.1
13820.0,1570.5
13840.0,1574.9
13860.0,1579.8
13880.0,1587.7
13900.0,1594.9
13920.0,1600.3
13940.0,1612.3
13960.0,1617.2
13980.0,1627.2
14000.0,1634.3
14020.0,1639.2
14040.0,1643.0
14060.0,1650.3
14080.0,1656.2
14100.0,1666.5
14120.0,1670.7
14140.0,1676.3
14160.0,1682.2
14180.0,1687.4
14200.0,1691.8
14220.0,1696.7
14240.0,1700.0
14260.0,1703.2
14280.0,1707.4
14300.0,1713.5
14320.0,1716.4
14340.0,1714.8
14360.0,1721.9
14380.0,1724.3
14400.0,1726.0
14420.0,1726.9
14440.0,1732.3
14460.0,1737.5
14480.0,1742.2
14500.0,1743.5
14520.0,1745.7
14540.0,1750.7
14560.0,1754.4
14580.0,1755.4
14600.0,1754.4
14620.0,1641.7
14640.0,1215.5
14660.0,1245.5
14680.0,1308.7
14700.0,1708.8
14720.0,1804.3
14740.0,1810.2
14760.0,1770.6
14780.0,1194.430769230769
14800.0,1150.798076923077
14820.0,1129.8365384615386
14840.0,1108.875
14860.0,1087.9134615384614
14880.0,1134.7961538461539
14900.0,1650.5
14920.0,1799.6
14940.0,1758.1
14960.0,1741.5
14980.0,1740.9
15000.0,1738.8
15020.0,1737.0
15040.0,1734.2
15060.0,1734.5
15080.0,1730.3
15100.0,1741.6
15120.0,1240.783870967742
15140.0,1189.9354838709678
15160.0,1195.0967741935483
