time_in_ms,pupilSize_clean
0.0,1726.1
20.0,1716.2
40.0,1711.7
60.0,1703.3
80.0,1697.7
100.0,1680.8
120.0,1661.1
140.0,1641.5
160.0,1617.9
180.0,1609.4
200.0,1605.8
220.0,1598.7
240.0,1588.2
260.0,1578.4
280.0,1571.7
300.0,1567.4
320.0,1558.8
340.0,1553.1
360.0,1540.6
380.0,1537.4
400.0,1540.4
420.0,1536.8
440.0,1540.4
460.0,1543.9
480.0,1543.6
500.0,1549.0
520.0,1547.9
540.0,1566.4
560.0,1572.7
580.0,1588.2
600.0,1596.3
620.0,1603.3
640.0,1613.4
660.0,1623.8
680.0,1640.7
700.0,1642.1
720.0,1649.3
740.0,1656.3
760.0,1667.4
780.0,1662.1
800.0,1661.8
820.0,1661.8
840.0,1668.0
860.0,1662.8
880.0,1666.2
900.0,1673.7
920.0,1677.6
940.0,1677.6
960.0,1676.0
980.0,1673.0
1000.0,1667.6
1020.0,1663.1
1040.0,1666.1
1060.0,1660.8
1080.0,1661.2
1100.0,1657.3
1120.0,1649.1
1140.0,1639.7
1160.0,1627.6
1180.0,1622.2
1200.0,1613.7
1220.0,1603.6
1240.0,1597.2
1260.0,1583.8
1280.0,1582.1
1300.0,1572.9
1320.0,1565.8
1340.0,1559.5
1360.0,1552.6
1380.0,1553.9
1400.0,1146.5
1420.0,235.6120689655172
1440.0,378.5431034482759
1460.0,521.4741379310344
1480.0,664.4051724137931
1500.0,807.3362068965517
1520.0,948.2793103448275
1540.0,1280.3
1560.0,1557.6
1580.0,1573.8
1600.0,1575.5
1620.0,1584.0
1640.0,1598.3
1660.0,1605.2
1680.0,1618.8
1700.0,1627.6
1720.0,1639.2
1740.0,1650.9
1760.0,1663.4
1780.0,1674.5
1800.0,1682.2
1820.0,1695.0
1840.0,1704.2
1860.0,1715.6
1880.0,1724.6
1900.0,1731.4
1920.0,1738.6
1940.0,1739.2
1960.0,1746.3
1980.0,1746.3
2000.0,1749.1
2020.0,1754.2
2040.0,1754.4
2060.0,1756.3
2080.0,1760.3
2100.0,1751.4
2120.0,1760.6
2140.0,1722.6
2160.0,505.684
2180.0,543.0
2200.0,635.8
2220.0,728.6
2240.0,821.4
2260.0,914.2
2280.0,1007.0
2300.0,1108.016
2320.0,1468.9
2340.0,1738.9
2360.0,1755.2
2380.0,1744.7
2400.0,1738.5
2420.0,1737.5
2440.0,1738.1
2460.0,1737.7
2480.0,1740.7
2500.0,1737.6
2520.0,1735.0
2540.0,1736.5
2560.0,1742.6
2580.0,1747.3
2600.0,1751.2
2620.0,1763.1
2640.0,1762.5
2660.0,1766.1
2680.0,1774.5
2700.0,1774.5
2720.0,1776.4
2740.0,1757.2
2760.0,1759.2
2780.0,1744.7
2800.0,1732.1
2820.0,1721.4
2840.0,1705.0
2860.0,1690.2
2880.0,1681.7
2900.0,1666.2
2920.0,1657.2
2940.0,1646.1
2960.0,1636.5
2980.0,1627.6
3000.0,1620.2
3020.0,1614.9
3040.0,1610.7
3060.0,1606.7
3080.0,1605.2
3100.0,1601.9
3120.0,1602.6
3140.0,1598.1
3160.0,1601.6
3180.0,1601.6
3200.0,1604.1
3220.0,1600.4
3240.0,1602.2
3260.0,1597.7
3280.0,1605.5
3300.0,1602.2
3320.0,1611.0
3340.0,1609.7
3360.0,1604.2
3380.0,1603.7
3400.0,1608.5
3420.0,1614.7
3440.0,1612.1
3460.0,1617.0
3480.0,1621.0
3500.0,1620.2
3520.0,1627.6
3540.0,1643.7
3560.0,1584.5
3580.0,1485.8
3600.0,1394.4
3620.0,1296.7
3640.0,1289.6
3660.0,1287.3
3680.0,1277.9
3700.0,1280.8
3720.0,1011.5197183098592
3740.0,781.9929577464789
3760.0,839.3169014084508
3780.0,896.6408450704226
3800.0,953.9647887323943
3820.0,1011.2887323943662
3840.0,1068.612676056338
3860.0,1126.2633802816902
3880.0,1419.7
3900.0,1665.2
3920.0,1676.4
3940.0,1682.9
3960.0,1684.5
3980.0,1689.4
4000.0,1696.7
4020.0,1712.6
4040.0,1706.5
4060.0,1711.7
4080.0,1722.0
4100.0,1724.8
4120.0,1728.9
4140.0,1736.1
4160.0,1742.1
4180.0,1756.4
4200.0,1756.0
4220.0,1765.4
4240.0,1769.4
4260.0,1765.0
4280.0,1776.4
4300.0,1786.3
4320.0,1790.5
4340.0,1794.0
4360.0,1785.7
4380.0,1794.2
4400.0,1792.0
4420.0,1784.6
4440.0,1778.8
4460.0,1772.6
4480.0,1765.1
4500.0,1753.5
4520.0,1742.2
4540.0,1736.6
4560.0,1733.0
4580.0,1717.9
4600.0,1719.7
4620.0,1712.7
4640.0,1713.5
4660.0,1704.3
4680.0,1705.6
4700.0,1701.5
4720.0,1692.7
4740.0,1692.9
4760.0,706.4375
4780.0,606.0625
4800.0,694.8125
4820.0,783.5625
4840.0,872.3125
4860.0,961.0625
4880.0,1049.8125
4900.0,1138.5625
4920.0,1270.575
4940.0,1620.9
4960.0,1687.7
4980.0,1689.6
5000.0,1695.9
5020.0,1707.9
5040.0,1709.1
5060.0,1710.5
5080.0,1706.3
5100.0,1710.5
5120.0,1586.1
5140.0,241.02127659574467
5160.0,351.07978723404256
5180.0,462.25
5200.0,573.4202127659574
5220.0,684.5904255319149
5240.0,795.7606382978723
5260.0,906.9308510638299
5280.0,1018.1010638297872
5300.0,1129.2712765957447
5320.0,1245.6244680851064
5340.0,1606.0
5360.0,1787.3
5380.0,1770.4
5400.0,1774.6
5420.0,1773.1
5440.0,1773.4
5460.0,1774.8
5480.0,1778.2
5500.0,1782.7
5520.0,1784.7
5540.0,1792.4
5560.0,1799.7
5580.0,1801.2
5600.0,1800.9
5620.0,1801.8
5640.0,1808.5
5660.0,1812.6
5680.0,1802.5
5700.0,1811.4
5720.0,1803.7
5740.0,1804.6
5760.0,1800.9
5780.0,1793.3
5800.0,1786.7
5820.0,1780.3
5840.0,1772.0
5860.0,1629.9472222222223
5880.0,1371.0694444444446
5900.0,1335.7916666666665
5920.0,1300.513888888889
5940.0,1265.236111111111
5960.0,1229.9583333333335
5980.0,1194.6805555555554
6000.0,1159.4027777777778
6020.0,1124.125
6040.0,1088.8472222222222
6060.0,1053.5694444444446
6080.0,1038.1083333333333
6100.0,1390.5
6120.0,1663.2
6140.0,1707.0
6160.0,1705.1
6180.0,1716.7
6200.0,1723.5
6220.0,1728.8
6240.0,1736.2
6260.0,1743.5
6280.0,1751.7
6300.0,1608.2643564356435
6320.0,1540.3762376237623
6340.0,1505.920792079208
6360.0,1471.4653465346535
6380.0,1437.0099009900991
6400.0,1402.5544554455446
6420.0,1368.09900990099
6440.0,1333.6435643564357
6460.0,1299.1881188118812
6480.0,1264.7326732673268
6500.0,1250.7455445544554
6520.0,1629.1
6540.0,1853.9
6560.0,1849.4
6580.0,1848.8
6600.0,1848.6
6620.0,1851.7
6640.0,1853.1
6660.0,1855.5
6680.0,1868.4
6700.0,1874.5
6720.0,1877.6
6740.0,1882.1
6760.0,1888.3
6780.0,1894.2
6800.0,1898.1
6820.0,1895.6
6840.0,1898.2
6860.0,1904.2
6880.0,1906.3
6900.0,1905.5
6920.0,1907.0
6940.0,1911.7
6960.0,1905.8
6980.0,1900.6
7000.0,1906.9
7020.0,1895.4
7040.0,1894.0
7060.0,1688.1962500000002
7080.0,1594.19375
7100.0,1541.31875
7120.0,1488.44375
7140.0,1435.56875
7160.0,1382.69375
7180.0,1329.81875
7200.0,1276.94375
7220.0,1362.7725
7240.0,1770.3
7260.0,1776.7
7280.0,1782.0
7300.0,1777.5
7320.0,1770.5
7340.0,1776.7
7360.0,1778.1
7380.0,1835.5
7400.0,1800.0
7420.0,1797.6
7440.0,1791.9
7460.0,1789.0
7480.0,1798.9
7500.0,1815.3
7520.0,1814.6
7540.0,1832.5
7560.0,1846.8
