time_in_ms,pupilSize_clean
0.0,2183.3
20.0,2182.6
40.0,2181.5
60.0,2178.8
80.0,2176.8
100.0,2174.8
120.0,2184.3
140.0,2201.6
160.0,2190.4
180.0,2190.6
200.0,2187.6
220.0,2185.9
240.0,2183.7
260.0,2180.9
280.0,2180.8
300.0,2177.2
320.0,2175.2
340.0,2174.8
360.0,2172.5
380.0,2167.7
400.0,2158.3
420.0,2157.2
440.0,2151.6
460.0,2145.0
480.0,2141.3
500.0,2137.9
520.0,2130.7
540.0,2129.7
560.0,2127.0
580.0,2124.4
600.0,2120.7
620.0,2119.7
640.0,2118.5
660.0,2116.6
680.0,2113.6
700.0,2113.6
720.0,2110.9
740.0,2113.5
760.0,2109.9
780.0,2109.0
800.0,2106.3
820.0,2102.3
840.0,2101.4
860.0,2096.9
880.0,2093.0
900.0,2090.5
920.0,2093.5
940.0,2088.3
960.0,2083.4
980.0,2082.2
1000.0,2078.0
1020.0,2077.0
1040.0,2077.3
1060.0,2079.1
1080.0,2075.4
1100.0,2076.5
1120.0,2078.1
1140.0,2078.7
1160.0,2080.6
1180.0,2081.6
1200.0,2080.4
1220.0,2080.4
1240.0,2080.8
1260.0,2080.0
1280.0,2081.3
1300.0,2080.9
1320.0,2081.6
1340.0,2081.9
1360.0,2081.9
1380.0,2083.3
1400.0,2085.4
1420.0,2084.9
1440.0,2085.7
1460.0,2085.4
1480.0,2088.3
1500.0,2088.1
1520.0,2089.8
1540.0,2089.9
1560.0,2088.0
1580.0,2089.5
1600.0,2091.8
1620.0,2091.8
1640.0,2092.8
1660.0,2098.0
1680.0,2100.3
1700.0,2100.0
1720.0,2103.7
1740.0,2102.0
1760.0,2104.2
1780.0,2105.2
1800.0,2107.6
1820.0,2109.9
1840.0,2111.1
1860.0,2114.3
1880.0,2119.1
1900.0,2120.0
1920.0,2126.3
1940.0,2130.5
1960.0,2134.2
1980.0,2134.6
2000.0,2138.6
2020.0,2139.8
2040.0,2141.6
2060.0,2142.5
2080.0,2144.6
2100.0,2149.0
2120.0,2152.3
2140.0,2154.7
2160.0,2154.8
2180.0,2157.5
2200.0,2160.2
2220.0,2159.3
2240.0,2160.1
2260.0,2164.5
2280.0,2165.0
2300.0,2165.7
2320.0,2168.1
2340.0,2167.3
2360.0,2171.7
2380.0,2172.9
2400.0,2175.4
2420.0,2176.0
2440.0,2176.3
2460.0,2178.8
2480.0,2177.9
2500.0,2181.3
2520.0,2177.5
2540.0,2182.4
2560.0,2182.3
2580.0,2184.8
2600.0,2184.6
2620.0,2187.4
2640.0,2186.1
2660.0,2184.5
2680.0,2189.1
2700.0,2188.1
2720.0,2187.2
2740.0,2190.1
2760.0,2191.7
2780.0,2195.5
2800.0,2195.1
2820.0,2196.9
2840.0,2196.8
2860.0,2198.4
2880.0,2194.6
2900.0,2196.1
2920.0,2194.5
2940.0,2194.6
2960.0,2193.8
2980.0,2195.4
3000.0,2193.9
3020.0,2198.1
3040.0,2194.7
3060.0,2194.6
3080.0,2194.9
3100.0,2195.2
3120.0,2195.3
3140.0,2192.2
3160.0,2189.3
3180.0,2179.9
3200.0,2180.7
3220.0,2179.3
3240.0,2177.3
3260.0,2175.3
3280.0,2175.6
3300.0,2175.6
3320.0,2174.7
3340.0,2174.9
3360.0,2174.1
3380.0,2179.0
3400.0,2182.2
3420.0,2183.0
3440.0,2188.8
3460.0,2192.4
3480.0,2195.9
3500.0,2198.2
3520.0,2202.9
3540.0,2208.5
3560.0,2210.6
3580.0,2216.9
3600.0,2220.4
3620.0,2226.7
3640.0,2233.2
3660.0,2239.2
3680.0,2244.8
3700.0,2249.9
3720.0,2252.7
3740.0,2257.4
3760.0,2264.4
3780.0,2265.4
3800.0,2265.5
3820.0,2268.0
3840.0,2268.4
3860.0,2270.9
3880.0,2272.4
3900.0,2273.8
3920.0,2270.6
3940.0,2270.8
3960.0,2270.1
3980.0,2267.3
4000.0,2262.6
4020.0,2258.7
4040.0,2257.5
4060.0,2256.3
4080.0,2252.7
4100.0,2253.3
4120.0,2254.1
4140.0,2249.9
4160.0,2248.4
4180.0,2248.0
4200.0,2249.1
4220.0,2249.8
4240.0,2248.2
4260.0,2250.8
4280.0,2250.7
4300.0,2249.7
4320.0,2249.4
4340.0,2249.1
4360.0,2249.8
4380.0,2248.4
4400.0,2246.8
4420.0,2245.0
4440.0,2239.8
4460.0,2237.9
4480.0,2240.3
4500.0,2237.6
4520.0,2236.7
4540.0,2236.7
4560.0,2235.6
4580.0,2235.5
4600.0,2236.7
4620.0,2230.3
4640.0,2230.6
4660.0,2230.7
4680.0,2226.9
4700.0,2226.0
4720.0,2225.2
4740.0,2221.5
4760.0,2220.7
4780.0,2220.2
4800.0,2220.7
4820.0,2218.2
4840.0,2217.3
4860.0,2217.5
4880.0,2217.9
4900.0,2215.1
4920.0,2212.9
4940.0,2208.7
4960.0,2208.8
4980.0,2206.7
5000.0,2204.7
5020.0,2202.7
5040.0,2202.2
5060.0,2198.5
5080.0,2191.8
5100.0,2191.4
5120.0,2188.0
5140.0,2183.6
5160.0,2178.4
5180.0,2172.8
5200.0,2171.4
5220.0,2167.2
5240.0,2163.0
5260.0,2161.6
5280.0,2156.1
5300.0,2157.9
5320.0,2153.4
5340.0,2151.4
5360.0,2150.9
5380.0,2154.5
5400.0,2156.1
5420.0,2156.3
5440.0,2157.4
5460.0,2159.0
5480.0,2161.3
5500.0,2160.7
5520.0,2158.2
5540.0,2162.2
5560.0,2161.8
5580.0,2162.1
5600.0,2162.2
5620.0,2161.4
5640.0,2164.9
5660.0,2166.4
5680.0,2167.7
5700.0,2164.6
5720.0,2165.2
5740.0,2163.4
5760.0,2163.3
5780.0,2159.4
5800.0,2159.6
5820.0,2159.9
5840.0,2161.7
5860.0,2159.4
5880.0,2160.7
5900.0,2160.0
5920.0,2162.0
5940.0,2162.6
5960.0,2160.3
5980.0,2160.1
6000.0,2161.0
6020.0,2164.9
6040.0,2166.3
6060.0,2164.1
6080.0,2161.5
6100.0,2163.2
6120.0,2161.0
6140.0,2161.9
6160.0,2163.4
6180.0,2163.6
6200.0,2165.2
6220.0,2163.6
6240.0,2167.4
6260.0,2163.2
6280.0,2160.4
6300.0,2162.9
6320.0,2163.9
6340.0,2164.7
6360.0,2164.9
6380.0,2165.9
6400.0,2165.3
6420.0,2166.5
6440.0,2167.5
6460.0,2166.2
6480.0,2168.5
6500.0,2169.5
6520.0,2170.0
6540.0,2166.6
6560.0,2167.1
6580.0,2167.7
6600.0,2164.4
6620.0,2165.8
6640.0,2162.9
6660.0,2159.9
6680.0,2153.5
6700.0,2150.3
6720.0,2149.4
6740.0,2149.9
6760.0,2146.2
6780.0,2146.1
6800.0,2148.3
6820.0,2144.5
6840.0,2145.8
6860.0,2146.9
6880.0,2143.9
6900.0,2144.2
6920.0,2145.1
6940.0,2141.0
6960.0,2144.2
6980.0,2145.1
7000.0,2145.7
7020.0,2146.2
7040.0,2151.0
7060.0,2152.5
7080.0,2153.1
7100.0,2151.5
7120.0,2149.5
7140.0,2147.9
7160.0,2149.6
7180.0,2148.4
7200.0,2148.2
7220.0,2141.8
7240.0,2137.5
7260.0,2132.8
7280.0,2133.4
7300.0,2127.2
7320.0,2125.9
7340.0,2122.4
7360.0,2122.5
7380.0,2123.6
7400.0,2124.5
7420.0,2125.2
7440.0,2123.2
7460.0,2124.3
7480.0,2123.3
7500.0,2123.2
7520.0,2124.1
7540.0,2123.0
7560.0,2125.6
7580.0,2127.1
7600.0,2127.6
7620.0,2129.3
7640.0,2129.8
7660.0,2130.5
7680.0,2131.5
7700.0,2132.9
7720.0,2135.6
7740.0,2129.9
7760.0,2135.8
7780.0,2134.5
7800.0,2136.5
7820.0,2135.6
7840.0,2134.1
7860.0,2134.8
7880.0,2137.6
7900.0,2138.9
7920.0,2136.3
7940.0,2133.6
7960.0,2135.0
7980.0,2135.3
8000.0,2137.3
8020.0,2137.2
8040.0,2137.6
8060.0,2135.4
8080.0,2137.0
8100.0,2134.9
8120.0,2135.2
8140.0,2133.9
8160.0,2129.5
8180.0,2126.6
8200.0,2127.1
8220.0,2126.7
8240.0,2123.8
8260.0,2120.0
8280.0,2118.1
8300.0,2116.5
8320.0,2112.7
8340.0,2110.1
8360.0,2110.6
8380.0,2110.9
8400.0,2110.1
8420.0,2110.4
8440.0,2110.2
8460.0,2107.0
8480.0,2109.2
8500.0,2111.0
8520.0,2108.3
8540.0,2107.2
8560.0,2111.2
8580.0,2108.2
8600.0,2107.3
8620.0,2106.7
8640.0,2103.5
8660.0,2102.2
8680.0,2100.0
8700.0,2096.0
8720.0,2093.1
8740.0,2085.5
8760.0,2086.9
8780.0,2081.4
8800.0,2083.8
8820.0,2082.6
8840.0,2082.2
8860.0,2080.4
8880.0,2078.6
8900.0,2075.6
8920.0,2075.7
8940.0,2076.1
8960.0,2072.6
8980.0,2075.7
9000.0,2076.9
9020.0,2078.4
9040.0,2075.9
9060.0,2073.8
9080.0,2075.4
9100.0,2078.4
9120.0,2076.9
9140.0,2081.6
9160.0,2079.0
9180.0,2081.3
9200.0,2080.6
9220.0,2082.8
9240.0,2081.2
9260.0,2079.3
9280.0,2076.9
9300.0,2074.9
9320.0,2071.5
9340.0,2071.4
9360.0,2070.9
9380.0,2068.4
9400.0,2068.5
9420.0,2071.6
9440.0,2070.4
9460.0,2069.0
9480.0,2066.3
9500.0,2069.7
9520.0,2072.1
9540.0,2073.3
9560.0,2071.9
9580.0,2072.9
9600.0,2078.1
9620.0,2079.2
9640.0,2085.4
9660.0,2088.6
9680.0,2093.1
9700.0,2097.1
9720.0,2096.3
9740.0,2098.4
9760.0,2117.5
9780.0,1854.0
9800.0,1437.8
9820.0,1558.5
9840.0,1948.8
9860.0,2118.6
9880.0,2126.4
9900.0,2129.3
9920.0,2128.2
9940.0,2128.6
9960.0,2126.3
9980.0,2120.3
10000.0,2104.3
10020.0,2101.8
10040.0,2103.1
10060.0,2113.0
10080.0,2122.9
10100.0,2124.3
10120.0,2132.3
10140.0,2124.6
10160.0,2118.2
10180.0,2120.3
10200.0,2126.0
10220.0,2124.6
10240.0,2118.5
10260.0,2109.7
10280.0,2107.5
10300.0,2115.3
10320.0,2119.2
10340.0,2119.7
10360.0,2121.7
10380.0,2122.8
10400.0,2125.0
10420.0,2125.7
10440.0,2126.0
10460.0,2124.6
10480.0,2120.0
10500.0,2119.5
10520.0,2119.1
10540.0,2119.1
10560.0,2114.4
10580.0,2109.5
10600.0,2102.4
10620.0,2098.1
10640.0,2093.8
10660.0,2089.9
10680.0,2087.7
10700.0,2085.0
10720.0,2086.3
10740.0,2081.1
10760.0,2080.3
10780.0,2080.7
10800.0,2080.5
10820.0,2079.7
10840.0,2078.1
10860.0,2076.8
10880.0,2082.4
10900.0,2079.9
10920.0,2083.2
10940.0,2083.2
10960.0,2088.6
10980.0,2087.6
11000.0,2088.0
11020.0,2089.0
11040.0,2096.0
11060.0,2094.0
11080.0,2095.4
11100.0,2096.2
11120.0,2098.3
11140.0,2098.3
11160.0,2102.8
11180.0,2102.3
11200.0,2100.8
11220.0,2102.1
11240.0,2103.4
11260.0,2101.5
11280.0,2104.3
11300.0,2103.1
11320.0,2102.8
11340.0,2101.6
11360.0,2102.3
11380.0,2102.7
11400.0,2103.1
11420.0,2103.0
11440.0,2103.0
11460.0,2104.5
11480.0,2100.9
11500.0,2100.4
11520.0,2099.8
