subject,group,story,valence,mean_pupil_size,z_pupil,run
1007,1,Dont Look,negative,0.2290306266206028,0.2290306266206028,run_2
1015,3,Sea Ice,neutral,-0.5041587596179119,-0.5041587596179119,run_1
1015,3,Dont Look,negative,-0.1916370033735387,-0.1916370033735387,run_1
1015,3,Impatient Billionaire,positive,0.9515105823595846,0.9515105823595846,run_1
1015,3,Natalie Wood,negative,0.130311633621134,0.130311633621134,run_2
1015,3,Grandfather Clocks,neutral,-0.3621664272842422,-0.3621664272842422,run_2
1015,3,Pool Party,positive,0.2157012453151205,0.2157012453151205,run_2
1041,2,Dont Look,negative,0.10873438426279,0.10873438426279,run_1
1041,2,Pool Party,positive,0.0761305768404332,0.0761305768404332,run_1
1041,2,Grandfather Clocks,neutral,-0.2092090648651698,-0.2092090648651698,run_1
1041,2,Impatient Billionaire,positive,-0.1946765175806041,-0.1946765175806041,run_2
1041,2,Natalie Wood,negative,0.1865816894410205,0.1865816894410205,run_2
1041,2,Sea Ice,neutral,-0.2315947085508009,-0.2315947085508009,run_2
1045,3,Sea Ice,neutral,0.3768723546266446,0.3768723546266446,run_1
1045,3,Dont Look,negative,-0.1609635543533113,-0.1609635543533113,run_1
1045,3,Impatient Billionaire,positive,-0.0667285121919692,-0.0667285121919692,run_1
1045,3,Natalie Wood,negative,0.0439536511752985,0.0439536511752985,run_2
1045,3,Grandfather Clocks,neutral,-0.0012158586776726,-0.0012158586776726,run_2
1045,3,Pool Party,positive,-0.1104051809580309,-0.1104051809580309,run_2
1008,2,Dont Look,negative,-0.0230184424320016,-0.0230184424320016,run_1
1008,2,Pool Party,positive,0.3410361866838817,0.3410361866838817,run_1
1008,2,Grandfather Clocks,neutral,-0.1868389658908414,-0.1868389658908414,run_1
1008,2,Impatient Billionaire,positive,0.3525882540037213,0.3525882540037213,run_2
1008,2,Natalie Wood,negative,0.091334791743,0.091334791743,run_2
1008,2,Sea Ice,neutral,-0.5468823849844046,-0.5468823849844046,run_2
1004,1,Pool Party,positive,0.4227430481025791,0.4227430481025791,run_1
1004,1,Sea Ice,neutral,-0.6124918724548309,-0.6124918724548309,run_1
1004,1,Natalie Wood,negative,0.1035010184824908,0.1035010184824908,run_1
1004,1,Grandfather Clocks,neutral,0.0059766415215679,0.0059766415215679,run_2
1004,1,Impatient Billionaire,positive,-0.1074517049308842,-0.1074517049308842,run_2
1004,1,Dont Look,negative,0.005151524894851,0.005151524894851,run_2
1044,2,Dont Look,negative,0.0101496804127712,0.0101496804127712,run_1
1044,2,Pool Party,positive,0.1263089238158412,0.1263089238158412,run_1
1044,2,Grandfather Clocks,neutral,-0.1228004127047774,-0.1228004127047774,run_1
