source,target,weight
1,2,0.3370746076107025
1,3,0.3604055643081665
1,4,0.4660150408744812
1,5,0.545014500617981
1,6,0.3808691203594208
1,7,0.2671261131763458
1,8,0.451538622379303
1,9,0.5342570543289185
1,10,0.48137450218200684
1,11,0.5542519092559814
1,12,0.46077245473861694
1,13,0.4521704912185669
1,14,0.3708879053592682
1,15,0.3432343602180481
1,16,0.38468340039253235
1,17,0.3218798339366913
2,3,0.5010274648666382
2,4,0.5222391486167908
2,5,0.3973032832145691
2,6,0.44203275442123413
2,7,0.3569357097148895
2,8,0.4305665194988251
2,9,0.4732411801815033
2,10,0.3844328224658966
2,11,0.43096303939819336
2,12,0.33668869733810425
2,13,0.41200801730155945
2,14,0.3061414659023285
2,15,0.27824580669403076
2,16,0.3225916922092438
2,17,0.31273937225341797
3,4,0.5406634211540222
3,5,0.49347156286239624
3,6,0.654792308807373
3,7,0.4238266050815582
3,8,0.515415608882904
3,9,0.5250044465065002
3,10,0.541860818862915
3,11,0.4487139582633972
3,12,0.37802964448928833
3,13,0.4724903702735901
3,14,0.3782687187194824
3,15,0.30306491255760193
3,16,0.4166622459888458
3,17,0.38358888030052185
4,5,0.5968220829963684
4,6,0.6081622838973999
4,7,0.43835943937301636
4,8,0.5468094348907471
4,9,0.627487301826477
4,10,0.5776221752166748
4,11,0.49701231718063354
4,12,0.3797316253185272
4,13,0.552191436290741
4,14,0.4145877957344055
4,15,0.39139223098754883
4,16,0.513022780418396
4,17,0.40967583656311035
5,6,0.504275381565094
5,7,0.3471682071685791
5,8,0.49967843294143677
5,9,0.5779052376747131
5,10,0.6764232516288757
5,11,0.5005347728729248
5,12,0.402241587638855
5,13,0.46163657307624817
5,14,0.3083854913711548
5,15,0.3488841652870178
5,16,0.4408501386642456
5,17,0.3431871235370636
6,7,0.46241840720176697
6,8,0.5455601811408997
6,9,0.6669715642929077
6,10,0.5948798656463623
6,11,0.566468358039856
6,12,0.471042275428772
6,13,0.610088586807251
6,14,0.46738916635513306
6,15,0.43382516503334045
6,16,0.5153274536132812
6,17,0.454247385263443
7,8,0.3248397707939148
7,9,0.3787550628185272
7,10,0.42360612750053406
7,11,0.31477922201156616
7,12,0.26298046112060547
7,13,0.36858636140823364
7,14,0.23835019767284393
7,15,0.2933606207370758
7,16,0.39416253566741943
7,17,0.24670757353305817
8,9,0.6859983205795288
8,10,0.5191437005996704
8,11,0.566132664680481
8,12,0.47630757093429565
8,13,0.4819883406162262
8,14,0.4177163541316986
8,15,0.30027174949645996
8,16,0.4304104149341583
8,17,0.3753841519355774
9,10,0.6409374475479126
9,11,0.6864136457443237
9,12,0.5162146091461182
9,13,0.5167422294616699
9,14,0.46818992495536804
9,15,0.464812695980072
9,16,0.5042866468429565
9,17,0.4991101622581482
10,11,0.5021302700042725
10,12,0.3976348638534546
10,13,0.47152361273765564
10,14,0.2916601300239563
10,15,0.3206653892993927
10,16,0.39275890588760376
10,17,0.3738084137439728
11,12,0.6140152812004089
11,13,0.5888887047767639
11,14,0.5074599385261536
11,15,0.4583056569099426
11,16,0.4971711337566376
11,17,0.585570216178894
12,13,0.5527487993240356
12,14,0.336897611618042
12,15,0.3688940405845642
12,16,0.37397074699401855
12,17,0.41011208295822144
13,14,0.5447978377342224
13,15,0.38520029187202454
13,16,0.5407170653343201
13,17,0.5172746777534485
14,15,0.41325730085372925
14,16,0.5227563977241516
14,17,0.5056611895561218
15,16,0.6600473523139954
15,17,0.5037209987640381
16,17,0.5467959642410278
