subject,group,run,story,valence,spectral_entropy
1001,1,run_1,Pool Party,positive,5.083480208540271
1002,2,run_1,Dont Look,negative,5.8663549922685
1034,1,run_1,Pool Party,positive,5.563500288474272
1004,1,run_1,Sea Ice,neutral,5.535278585572492
1004,1,run_1,Natalie Wood,negative,6.37323126772735
1017,2,run_1,Dont Look,negative,6.1923275573838685
1002,2,run_1,Pool Party,positive,5.121027672735271
1044,2,run_1,Grandfather Clocks,neutral,5.3548475574365515
1045,3,run_1,Dont Look,negative,5.8976032676125785
1031,1,run_2,Grandfather Clocks,neutral,5.022957673145112
1004,1,run_2,Impatient Billionaire,positive,5.085521886597279
1025,1,run_2,Dont Look,negative,5.78790414759617
1028,1,run_2,Grandfather Clocks,neutral,5.437089279509762
1031,1,run_2,Impatient Billionaire,positive,3.739764706842863
1039,3,run_2,Natalie Wood,negative,5.514761825961088
1037,1,run_2,Impatient Billionaire,positive,3.6457297075675617
1001,1,run_2,Impatient Billionaire,positive,4.768881789766073
1020,2,run_2,Sea Ice,neutral,4.937211744441839
1039,3,run_2,Grandfather Clocks,neutral,5.766289908937832
1006,3,run_2,Natalie Wood,negative,6.494285404780258
1034,1,run_2,Impatient Billionaire,positive,5.193328428545654
1021,3,run_2,Natalie Wood,negative,5.5955109493904045
1001,1,run_2,Grandfather Clocks,neutral,5.411773510947499
1032,2,run_2,Impatient Billionaire,positive,4.725537741559614
1029,2,run_2,Natalie Wood,negative,6.185362692563677
1019,1,run_2,Dont Look,negative,6.273940151487538
1040,1,run_2,Dont Look,negative,5.869052252351245
1032,2,run_2,Natalie Wood,negative,5.903905800467047
1037,1,run_2,Dont Look,negative,5.364429610741306
1038,2,run_2,Sea Ice,neutral,5.031546256956557
1006,3,run_2,Pool Party,positive,5.248545752517026
1025,1,run_2,Grandfather Clocks,neutral,5.465504969245635
1004,1,run_2,Dont Look,negative,5.85652729463995
1035,2,run_2,Impatient Billionaire,positive,5.112391193166549
1041,2,run_2,Natalie Wood,negative,6.133359016918925
1037,1,run_2,Grandfather Clocks,neutral,5.055572437076064
1003,3,run_2,Natalie Wood,negative,6.672019641528315
1001,1,run_2,Dont Look,negative,5.856015174736036
1018,3,run_2,Natalie Wood,negative,6.490247217094705
1029,2,run_2,Impatient Billionaire,positive,5.014938693626635
1027,3,run_2,Natalie Wood,negative,6.026457977136069
1043,1,run_2,Grandfather Clocks,neutral,5.350538816122484
1024,3,run_2,Pool Party,positive,5.0049974054855575
1021,3,run_2,Grandfather Clocks,neutral,5.7996781415060585
1028,1,run_2,Impatient Billionaire,positive,5.168749374947306
1023,2,run_2,Sea Ice,neutral,5.239403806109341
1044,2,run_2,Natalie Wood,negative,6.125549296873812
1027,3,run_2,Grandfather Clocks,neutral,5.749944468483621
1019,1,run_2,Grandfather Clocks,neutral,5.820578401758961
1039,3,run_2,Pool Party,positive,4.986329910359665
1042,3,run_2,Natalie Wood,negative,6.336068622630727
