subject,group,run,story,dominant_freq_Hz
1027,3,run_1,Dont Look,0.0140845070422535
1027,3,run_2,Grandfather Clocks,0.016822429906542
1027,3,run_1,Sea Ice,0.0183727034120734
1027,3,run_2,Pool Party,0.0133689839572192
1027,3,run_1,Impatient Billionaire,0.0121212121212121
1027,3,run_2,Natalie Wood,0.0122699386503067
1028,1,run_2,Impatient Billionaire,0.0424242424242424
1028,1,run_2,Dont Look,0.0169014084507042
1028,1,run_2,Grandfather Clocks,0.0149532710280373
1029,2,run_2,Natalie Wood,0.0368098159509202
1029,2,run_2,Impatient Billionaire,0.0242424242424242
1029,2,run_2,Sea Ice,0.0157480314960629
1029,2,run_1,Grandfather Clocks,0.0467289719626168
1029,2,run_1,Dont Look,0.0126760563380281
1029,2,run_1,Pool Party,0.0213903743315508
1030,3,run_2,Natalie Wood,0.0417177914110429
1030,3,run_1,Impatient Billionaire,0.0363636363636363
1030,3,run_1,Dont Look,0.0239436619718309
1030,3,run_1,Sea Ice,0.0472440944881889
1030,3,run_2,Pool Party,0.0133689839572192
1030,3,run_2,Grandfather Clocks,0.0130841121495327
1031,1,run_2,Dont Look,0.0183098591549295
1031,1,run_1,Sea Ice,0.0157480314960629
1031,1,run_1,Pool Party,0.0240641711229946
1031,1,run_1,Natalie Wood,0.0184049079754601
1031,1,run_2,Grandfather Clocks,0.016822429906542
1031,1,run_2,Impatient Billionaire,0.0151515151515151
1032,2,run_2,Natalie Wood,0.0134969325153374
1032,2,run_1,Grandfather Clocks,0.0186915887850467
1032,2,run_2,Impatient Billionaire,0.0212121212121212
1032,2,run_2,Sea Ice,0.0314960629921259
1032,2,run_1,Dont Look,0.0295774647887323
1032,2,run_1,Pool Party,0.0160427807486631
1034,1,run_2,Impatient Billionaire,0.0303030303030303
1034,1,run_1,Sea Ice,0.0131233595800524
1034,1,run_1,Natalie Wood,0.0147239263803681
1034,1,run_1,Pool Party,0.0160427807486631
1034,1,run_2,Grandfather Clocks,0.0186915887850467
1034,1,run_2,Dont Look,0.0295774647887323
1035,2,run_1,Grandfather Clocks,0.0242990654205607
1035,2,run_2,Natalie Wood,0.0245398773006134
