TR,pupilSize
366,2124.7397381611754
367,2094.449423120248
368,1972.3899507626616
369,1991.9154152801104
370,2345.353479425851
371,2256.6794614952614
372,2107.353969256487
373,2104.4907641120435
374,1742.3198881694243
375,2055.1748592720164
376,2117.1838586969902
377,2159.855508498452
378,1738.3949264218757
379,1907.3221660943111
380,2250.6012599737605
381,2336.7798843505125
382,2039.9869776088385
383,1946.6367003624973
384,2238.719285962812
385,2208.818416340645
386,2049.327639154304
387,2085.583346994023
388,2218.98837241181
389,2279.43530074572
390,1943.4858257470016
391,2240.584042597325
392,2128.547268773223
393,2196.858656351674
394,2271.885557937028
395,1831.2743658084437
396,2022.9524890454156
397,2256.068865465507
398,2180.07342742074
399,2072.949995122103
400,2024.7097583547807
401,2310.540141197182
402,2353.0812430684755
403,2225.4788349573287
404,2313.707626484737
405,2123.141904421738
406,2277.8352625129855
407,2262.0071530177147
408,2181.693366136919
409,2221.4538530774994
410,2324.6457348177323
411,1833.6499711649774
412,2234.938911383054
413,2161.07999301335
414,1789.2390407015562
415,1704.1192778040383
416,2045.9253356207437
417,2307.3143861016083
418,2382.1857707019794
419,2238.50035222941
420,2020.1443894445326
421,2415.138603895172
422,2377.8892541373943
423,2285.3244377589726
424,2205.341927887636
425,2423.1822201317163
426,2410.4586449286553
427,1881.7573637266148
428,1730.7228656734235
429,2013.2028724489287
430,1812.9026045045873
431,2173.5434088627576
432,2235.765613509904
433,2344.567477352931
434,2040.8398592272401
435,2076.6879789234185
436,1835.741339643839
437,1815.1310926375536
438,1976.5065914248964
439,1878.9402531655332
440,1826.0322932128147
441,2022.439538651319
442,2069.0092265558615
443,2245.9282836693606
444,2182.8161430862106
445,2144.4959954308088
446,2260.6496385566384
447,2293.9853898476604
448,1487.0530952815077
449,1533.5722216856561
450,1952.2211250096686
451,2188.098185497344
452,2136.1377527956993
453,2223.543689449689
454,2188.2823670848093
455,2272.796061398686
456,2302.46786144699
457,2470.1857254382517
458,2123.8597001004223
459,2256.953126788567
460,2159.1884413156113
461,2211.41400275711
462,2191.971335608052
463,2234.5851124021938
464,1945.1202992854512
465,2054.122956859158
466,1627.9165475893544
467,2030.583956178205
468,2206.4801640964542
469,2253.517167735666
470,2414.753065780838
471,2352.62874695082
472,2050.711460665187
473,1847.3316683909893
474,2153.8417205711366
475,2099.4031665778266
476,2137.4382792927513
477,2199.6454303058144
478,2101.142081248588
479,2032.0345852517116
480,2104.103377524756
481,1998.70672722644
482,1939.25795360375
483,2107.4928087193775
484,2134.860145481298
485,2207.0164916166573
486,2373.888272294455
487,2347.2021081335943
488,2318.340248898776
489,2233.0083702559523
490,1983.57644997981
491,1780.0481388453636
492,1793.3985666205315
493,1813.1560120746349
494,2172.2387331904724
495,1876.3357972984793
496,1701.424709529976
497,2116.883816493288
498,2208.701823659087
499,1735.568668940595
500,1729.5451784181687
501,2160.020410860645
502,1763.1128310937559
503,2140.0945335108654
504,2174.0201807857807
505,2116.3638085945845
506,2319.270891449763
507,1965.8203571071215
508,2217.267973288906
509,2042.5025672947509
510,2211.2447371902676
511,2223.8822603740637
512,2318.296845717766
513,1911.297488830382
514,1894.9597578774808
515,1677.1564895292704
516,1841.9500157997059
517,1464.6526214580626
518,1678.68575748808
519,1830.1454879237256
520,2052.7976100115043
521,2090.7992870843036
522,2097.0721818112074
523,2202.001142313886
524,2320.9964416002585
525,2112.958561395941
526,2114.4756001714586
527,2063.9898498892626
528,1904.744858401875
529,1731.5728950600599
530,2068.630475110949
531,1927.2728830500814
532,1881.8552930755343
533,1851.4162435979015
534,2133.449184336001
535,2146.16246135219
536,2261.8888456130776
537,2192.9672985095476
538,2416.0795872191347
539,2569.2675841458868
540,2327.826152040437
541,2351.4619591598293
542,1934.037849419798
543,1939.9983514039052
544,2220.0612890859834
545,2170.3869602115883
546,1773.7200789851038
547,2211.6538317364534
548,1786.9370621948403
549,1607.701527148773
550,1752.4807960703458
551,1837.9632472052049
552,2036.8462064444773
553,2250.6311672134734
554,2173.111774471179
555,2130.510420920998
556,2110.4819539127807
557,1819.7679864103927
558,1899.086723139803
559,2021.2641784369955
560,2109.9817160699513
561,1783.6182090148802
562,2176.586411944541
563,2308.6159560337396
564,2150.1140900621444
565,2081.643945036798
566,2221.565586505764
567,2036.963042487181
568,1576.576542542978
569,1840.0304499165109
570,1752.7064982065672
571,1756.870452606589
572,2059.5137957959923
573,2057.28018532948
574,2085.619463565756
575,1577.1267645545283
576,2020.5716888675645
577,2051.584576315764
578,2076.6563766392205
579,1815.4443506327266
580,2125.0627209629333
581,2163.1986847146873
582,1707.1384358967691
583,2214.6622415979405
584,2298.205294748511
585,2274.041961115902
586,2495.393512272362
587,2022.0313887130285
588,2090.534226064043
589,2246.6485958191115
590,2230.5280786324056
591,1971.096247467632
592,2167.0569121500976
593,2250.8005263837717
594,2322.1696445688412
595,1769.3634071383124
596,1279.3030715966465
597,1714.7322425050886
598,2114.483831175589
599,2201.6980740767876
600,2433.406811191467
601,2191.102538051862
602,2027.2638058123978
603,1576.7789750594436
604,2090.635047557829
605,2434.4779512559253
606,2413.5792900093265
607,2411.093879104628
608,2440.4137860291644
609,2451.3474702734775
610,2497.609558168883
611,2615.971955851188
612,2571.682648716189
613,2340.107692425856
614,2404.4675443796323
615,1786.9429745198495
616,1853.9392631531966
617,1912.1156287674814
618,2200.9933626812144
619,2329.9580846939634
620,2510.170943115258
621,2240.9762916098503
622,2396.7845934299557
623,2398.6842643561163
624,2018.5214533719836
625,2150.1175972760457
626,2208.320208267527
627,2156.506463982594
628,2424.511001605149
629,2261.7742800593255
630,1416.8341546446923
631,1090.101941862062
632,1861.9417884609609
633,1712.3083695701102
634,1154.7358788622894
