event_id,semantic_centrality,centrality_z
8,12.764638245105743,1.6414630072171144
6,12.222743779420853,1.3928112385854354
19,11.901496633887291,1.2454049150979993
24,11.348111659288406,0.9914806523833046
29,10.78959483653307,0.7352016080621245
23,10.778778344392776,0.7302383909204339
17,10.752360686659813,0.7181164783814202
15,10.591330081224442,0.6442265470739865
7,10.492165952920914,0.598724447589861
4,10.481979712843895,0.5940504256700091
12,10.46292558312416,0.5853073154251734
11,10.452079102396965,0.5803303378270761
9,10.412994459271431,0.5623960973892834
25,9.582572221755981,0.1813515008029008
13,9.554663062095642,0.1685452029902882
18,9.362755075097084,0.08048698611695952
28,8.739080801606178,-0.20568997447921689
10,8.608232274651527,-0.2657306645220696
22,8.545382097363472,-0.2945698735029878
3,8.462732814252377,-0.33249402981586007
14,8.377180650830269,-0.37175019147140925
20,8.134520158171654,-0.4830965227175479
26,7.880073383450508,-0.5998510654624624
16,7.7181969583034515,-0.6741291065967575
5,7.5971343740820885,-0.7296794537362463
2,6.134801909327507,-1.4006801313851434
27,5.846269629895687,-1.533075027681742
21,5.087534017860889,-1.8812257540742814
1,3.35074333101511,-2.6781633560876474
