event_id,semantic_centrality,centrality_z
13,6.1777371019124985,1.5959541726841138
6,6.169887959957123,1.5883736234401504
3,5.706439130008221,1.1407837215810346
2,5.252430960536003,0.7023114267222651
17,5.19623427093029,0.6480377525645346
14,4.92402908205986,0.38514725441506026
8,4.840382680296898,0.3043631800220353
10,4.7112128883600235,0.1796134972953307
4,4.64393212646246,0.11463504084295935
1,4.593163341283798,0.06560353162946328
5,4.463619641959667,-0.05950726360837884
7,3.7796046510338783,-0.72011569084811
12,3.7414916902780533,-0.7569244500074349
15,3.6180243715643883,-0.876166794565626
11,3.395326443016529,-1.091244139768881
9,3.1719978526234627,-1.3069305659648183
16,2.5434868708252907,-1.9139342964336963
