event_id,semantic_centrality,centrality_z
10,7.120854511857033,1.8153487772313412
16,6.869942024350166,1.5759760395653717
19,6.083619698882103,0.82581756955295
9,6.056965231895447,0.8003889717297809
4,6.0431836396455765,0.7872412105361205
18,5.883351281285286,0.634759723590342
8,5.870761334896088,0.622748803112868
5,5.847930520772934,0.6009680040218995
11,5.716385282576084,0.47547268050500885
13,5.1820602640509605,-0.03427812448144488
20,4.891684219241142,-0.3112994456974337
12,4.819350436329842,-0.3803065159044919
15,4.805748298764229,-0.39328307573832944
6,4.688572660088539,-0.5050696739114902
7,4.641622066497803,-0.5498609564599497
14,4.583298176527023,-0.605502464590358
1,4.452306419610977,-0.7304697620582095
17,4.172986797988415,-0.9969431575275591
2,3.815599024295807,-1.3378942622221963
3,2.813595674932003,-2.2938143412542167
