event_id,semantic_centrality,centrality_z
36,19.263956040143967,1.8323418209223081
28,18.693706661462784,1.6505750477411418
18,18.517940908670425,1.5945497806997069
12,17.393046475946903,1.2359901068978907
41,17.345299646258354,1.2207708230431853
31,16.92877919971943,1.088005088678945
37,16.710968531668186,1.0185780208447455
8,16.710612267255783,1.0184644616984093
13,16.69720946252346,1.014192322773145
27,16.550411880016327,0.9674006490236229
2,16.483630806207657,0.9461142070745792
38,16.437631137669086,0.9314518301737991
6,16.01363229751587,0.7963023606812677
24,15.835941404104233,0.7396634557975691
5,15.80930408835411,0.731172821504718
40,15.673707328736782,0.6879514058032834
19,15.549004219472408,0.6482023370203145
32,15.301445208489895,0.5692929961591646
10,15.110703870654106,0.5084942670647946
50,14.873367942869663,0.43284353009581095
55,14.789368219673634,0.40606865018491184
54,14.572588630020618,0.33697023819909944
29,14.24512329697609,0.23259078748604922
52,14.173867374658585,0.20987798927195075
14,14.078256346285343,0.1794020102395329
26,14.02331729978323,0.1618902100032327
51,13.970995165407658,0.14521254951477425
35,13.739337928593159,0.0713718931387531
1,13.640273958444595,0.03979529022501818
45,13.558433644473553,0.013708721185603586
53,13.536193795502186,0.006619777760692082
16,13.488398812711239,-0.00861485487713999
17,13.407994598150253,-0.03424366777425567
47,13.331375621259212,-0.05866593759967022
22,13.298987112939358,-0.06898976234291956
25,13.200320675969124,-0.10043965170683086
49,12.51680013537407,-0.3183115647886877
3,12.44223452359438,-0.34207932526362084
42,12.124167814850807,-0.4434629680452746
44,12.022169947624207,-0.4759747495399205
34,11.972758390009403,-0.49172466478975274
48,11.55941778421402,-0.6234768261229793
23,11.23971301317215,-0.7253826006409619
30,10.78590665012598,-0.870033206750785
39,10.493550412356853,-0.9632216466603183
4,10.235698148608208,-1.0454119579368415
43,10.067834861576557,-1.0989183170141492
46,9.947552278637886,-1.1372583447073346
15,9.754895858466625,-1.19866750556982
20,9.723145060241222,-1.2087880604623213
21,8.686708897352219,-1.539151694303174
9,8.068510092794895,-1.7362023287970039
33,6.667458914220333,-2.1827868606033016
11,6.481462560594082,-2.24207312778047
7,5.603304028511047,-2.521985826830483
