event_id,semantic_centrality,centrality_z
2,10.61086630821228,1.3581468340196008
3,9.995735719799995,1.0469577789646207
10,9.722806602716446,0.9088853832129488
16,9.705589644610882,0.900175478316786
17,9.557200774550438,0.8251068780477385
20,9.326962292194366,0.7086312920317535
14,9.290299192070961,0.6900837580646378
13,9.085558533668518,0.5865072928070076
19,8.979666024446487,0.5329372208532481
1,8.74372760951519,0.41357809000080836
4,8.662571549415588,0.3725219660978081
6,8.547223448753357,0.31416839512661743
12,8.180184677243233,0.12848676812512846
5,8.159193262457848,0.11786739940182751
18,8.04677228629589,0.0609946344975565
11,7.540703043341637,-0.195021262734613
15,7.399278201162815,-0.266566823673992
9,7.303624913096428,-0.31495696535611933
21,5.829784691333771,-1.060559532603097
7,5.684089347720146,-1.1342655019681689
23,4.248468101024628,-1.8605334320497104
22,4.212135419249535,-1.8789138103339171
8,3.47024042904377,-2.254231840848468
