event_id,semantic_centrality,centrality_z
36,17.283787190914154,2.074637441639695
3,16.51862308382988,1.6700823432279037
12,16.394854366779327,1.604643746405206
30,15.859069764614105,1.3213654398959842
11,15.63332599401474,1.2020109217146753
4,15.396813839673996,1.0769629784185502
38,15.194852635264397,0.9701827019146883
40,15.190358683466911,0.9678066742170256
16,14.993048563599586,0.8634855041287685
31,14.83726255595684,0.7811188287063551
26,14.715098693966866,0.7165287456743036
1,14.480296716094017,0.5923850013635535
17,14.407262563705444,0.5537706199080907
8,14.238566309213638,0.4645780804178444
39,13.87788437306881,0.2738794906362987
15,13.67604885995388,0.16716566922829665
6,13.601787522435188,0.12790245440952205
27,13.569954082369804,0.11107158066727155
34,13.439404934644699,0.04204805641080958
25,13.404605105519295,0.02364880301379824
5,13.192155927419662,-0.08867664110708601
23,13.118838369846344,-0.127440863637612
28,13.081633925437927,-0.14711147747018863
9,13.077494904398918,-0.14929984732217436
10,13.009734854102135,-0.18512572253299886
18,12.98263694345951,-0.19945284243483874
13,12.851932555437088,-0.2685584448405203
24,12.776889517903328,-0.3082349575696339
20,12.547909900546074,-0.42930032221049724
29,12.348013401031494,-0.5349889546026418
35,12.084566071629524,-0.6742779767689666
19,12.074325606226921,-0.6796922826026777
37,11.95070369541645,-0.7450532605036907
14,11.801233395934105,-0.824080715080909
7,11.773185402154922,-0.8389101598739077
41,11.729629337787628,-0.8619389817219252
33,11.301047697663307,-1.0885372839589187
2,11.230646923184395,-1.1257593543408033
32,10.581482887268066,-1.4689832693206535
21,9.641124114394188,-1.966166726281323
22,7.886842206120491,-2.8936849978166665
