TR,pupilSize
1,104.74162942578351
2,167.4656024112347
3,177.87332800407077
4,171.71405864157492
5,173.30987673575268
6,194.2601498165302
7,216.4156948729463
8,190.443271943875
9,78.99047551249618
10,-70.41761838041798
11,-140.6982960902832
12,-85.35880524638644
13,20.607859317447797
14,104.1474980021958
15,140.2425118707844
16,145.34607499280486
17,146.4617180901473
18,148.5812657575818
19,143.89800465716857
20,120.60585779393668
21,84.63804950004304
22,70.32419610175006
23,81.00653168971296
24,55.580064396305225
25,-39.997063372382826
26,-126.9224225512685
27,-102.93737193987239
28,-2.063762144213888
29,67.88841958676757
30,58.74714628710976
31,7.708519490378083
32,-23.536549558139406
33,-14.354150311859533
34,3.8443166415393786
35,18.393912343701277
36,37.94028602168919
37,54.936671205107025
38,60.67485735275796
39,44.39740639284364
40,-24.37293400715633
41,-134.9371030496449
42,-202.9533366803727
43,-154.61867883569295
44,-39.31423969000801
45,48.271047151748704
46,72.71809230475965
47,70.22330160630278
48,73.34802930607732
49,85.136609478688
50,96.29901021058302
51,110.18440891536753
52,119.67582427155493
53,114.67654318525791
54,58.034429883068015
55,-86.36247990840548
56,-265.9121514230491
57,-365.2600641079591
58,-305.9560546585292
59,-164.8345270971266
60,-58.608526696834794
61,-30.603308855502814
62,-68.21080240909822
63,-141.985087351444
64,-203.59693460727422
65,-213.8497599698836
66,-183.77440428891467
67,-119.73053715517989
68,-19.444012102801636
69,65.8727837679966
70,77.8994656556258
71,41.34532536452578
72,28.974566022867172
73,51.889532443040956
74,60.36512328795771
75,21.752146070582288
76,-13.621978998143591
77,-3.1447165096538536
78,14.726948891518614
79,7.752019502877711
80,13.310538133762314
81,66.90229896485043
82,123.7721546102033
83,130.48167179934225
84,91.22783761960365
85,53.79795465259812
86,49.3649943051094
87,71.05116438905961
88,115.858755852425
89,176.3851299861394
90,234.03151478543657
91,258.04501607069125
92,201.02513340882805
93,70.90775819992896
94,-35.71809027541959
95,-47.49685112321791
96,-24.566695945059084
97,-24.746753098991572
98,-42.06503663193643
99,-61.56780327447057
100,-75.05372282804156
101,-69.14267649479953
102,-45.368955393620254
103,-40.04004480142586
104,-81.16839010547663
105,-135.41605382070594
106,-150.94120708985497
107,-125.43495964423835
108,-100.70580022716108
109,-77.02280287727775
110,-28.622330677453245
111,31.268576513041566
112,69.5873895237411
113,76.69468029209358
114,69.52962983269042
115,71.33053231597968
116,93.58305945415259
117,111.12907913173471
118,80.9169759541616
119,-8.690484111463277
120,-122.11836315988383
121,-225.97121518011602
122,-306.79539047856144
123,-331.3777482209932
124,-255.3423415550359
125,-113.94177032022927
126,1.544786640190311
127,41.42671146313031
128,29.103071246270343
129,18.516981456431495
130,36.24774946853081
131,59.838555125687705
132,65.97517553559122
133,64.33521431124402
134,80.27983965237856
135,114.09283126236551
136,135.7078956511096
137,118.72841732116927
138,87.2927627671439
139,87.09236459504325
140,137.20138724819006
141,213.80729978179704
142,257.24102643713246
143,211.12946997335072
144,81.85473832593823
145,-58.15476443236268
146,-136.12776652269903
147,-171.2831021520853
148,-225.38018466198966
149,-283.08519793924114
150,-261.7784193493542
151,-133.2121409332668
152,20.24196640617813
153,109.91312613924725
154,118.31339146087994
155,83.61219882324555
156,36.351564340654015
157,-15.632511273776508
158,-69.74409992130998
159,-102.73396411101712
160,-90.6722043410162
161,-63.30884134645859
162,-39.302342388749594
163,1.2496737235850972
164,58.15948514669712
165,110.06054199950296
166,157.69776479303604
167,219.49228685251802
168,292.002541548999
169,338.1592191586091
170,334.94625130466244
171,302.9061840026676
172,270.6501031024688
173,259.48147898172783
174,263.07829249010143
175,222.5914518883774
176,69.69139549094177
177,-180.4747732243009
178,-412.34063084518544
179,-521.0859534335814
180,-486.0740515788589
181,-354.15432111212294
182,-205.7172605566003
183,-121.21999635124901
184,-99.08190228662411
185,-84.70609724997223
186,-73.95063698974919
187,-97.75829818813982
188,-165.811583052113
189,-252.35614444394224
190,-298.9016658101772
191,-251.13838002051708
192,-151.2321285279852
193,-66.30127603225681
194,-2.9033460176468115
195,54.36122925603264
196,92.25615531178194
197,92.20249932282677
198,74.17159111618393
199,59.44454261502779
200,46.926945005416904
201,42.548503362967416
202,67.616121931215
203,123.53844641810454
204,179.66681841861475
205,205.49354816930202
206,195.8929845520293
207,175.51532766936123
208,167.08716939024336
209,180.17125759953151
210,193.3204189599224
211,179.94560375757516
212,145.96943908301853
213,128.21728158945277
214,133.02069120172916
215,101.28691869104652
216,-6.128676599086581
217,-128.67860362073384
218,-166.6862071935783
219,-100.30771155627528
220,-9.64602482253754
221,42.45677505996472
222,54.66163182024485
223,59.95920900660011
224,66.13462753453851
225,34.18815059091822
226,-88.13710425110011
227,-299.87415442605646
228,-513.0314963877543
229,-599.777292733982
230,-509.2699699684446
231,-307.231982507124
232,-98.85323620466612
233,46.86411946421244
234,112.8409737483862
235,114.09713090655009
236,81.38565695759593
237,33.19205319958868
238,-7.587381255637239
239,-2.7619073359584543
240,42.63919604275299
241,86.1774184980061
242,96.89350583059513
243,64.68317942112382
244,2.744807552970808
245,-68.73266581755401
246,-118.31641279800694
247,-120.44885645001709
248,-83.44497884715884
249,-29.749355114118707
250,32.379345674575056
251,91.25550160070188
252,137.16163058852354
253,177.17750188968083
254,196.7750888174713
255,167.35147925835727
256,97.67738457001242
257,20.621225257888096
258,-28.101016327561695
259,-32.77944319307634
260,-13.64485644583143
261,10.231538783608812
262,36.7037090886373
263,58.1021090663606
264,70.50276204541096
265,91.51350728655409
266,123.66429527852095
267,130.3031387039072
268,86.7478321376251
269,57.198942107339356
270,108.31890113492892
271,182.11449980965327
272,168.92778122358715
273,45.032320180631004
274,-86.74887933749453
275,-107.92200444911862
276,-32.304923955367066
277,44.161221409748805
278,73.18060570225569
279,50.09239762137356
280,-21.187717280962566
281,-110.06863096089097
282,-164.33167380728895
283,-140.49894637763958
284,-52.06783679126292
285,39.41679827684367
286,64.67272217479089
287,5.2713158415209
288,-71.08681736867518
289,-78.92779537407039
290,3.7206566026064043
291,119.9678437322789
292,199.80912653800033
293,198.23254936838677
294,111.98405476583423
295,-12.262025749365428
296,-89.53370071514144
297,-54.728302842524144
298,34.548691274403
299,81.72061880815149
300,50.735238490643624
301,-40.36944307757001
302,-179.59429670575105
303,-322.69330859148573
304,-396.7968820059812
305,-372.7106063837091
306,-289.3275556012661
307,-185.29016176408405
308,-79.50564307572746
309,7.047474713881266
310,58.59250031035802
311,74.26274295466764
312,52.9571095299938
313,-26.30470316692703
314,-157.71361891227437
315,-257.12375354233967
316,-217.73896162969586
317,-66.14520234247563
318,72.73511466698477
319,114.34628820458785
320,84.45716920639498
321,64.3887801082344
322,94.32930782374561
323,140.5195689888819
324,158.0270143894718
325,146.72365756406535
326,125.34069444705801
327,103.15498276853104
328,89.27172801608089
329,77.2532349184211
330,51.30095164405006
331,22.05349224160081
332,20.448760440727977
333,52.371717750633145
334,78.2790487464814
335,60.231923492919584
336,5.458757588112506
337,-47.74074755970016
338,-60.69018535362468
339,-28.55665257928731
340,16.62694962346787
341,44.435136486885085
342,60.23085773008606
343,80.05948370895484
344,86.62174964046932
345,53.836705631205795
346,-15.617011745819939
347,-107.54458855725072
348,-206.46158704479322
349,-272.58942273528186
350,-274.71676720476955
351,-226.51384846832192
352,-143.81312948259648
353,-26.026677065677696
354,114.88991933109438
355,234.6295277488108
356,291.067138148933
357,290.2802219338213
358,271.96768748596145
359,263.4782697813451
360,270.9586108275513
361,265.4790788762618
362,204.49324464399774
363,111.86209595838946
364,58.56504179094542
365,77.12402556208161
366,125.9563515276308
367,137.6235077061023
368,41.5159740935992
369,-152.2943174792383
370,-327.9945215287577
371,-367.4950580014159
372,-270.18708614297674
