source,target,weight
1,2,0.35730403661727905
1,3,0.5300077795982361
1,4,0.5964545607566833
1,5,0.46035534143447876
1,6,0.4945499002933502
1,7,0.5047988295555115
1,8,0.3364299535751343
1,9,0.27819615602493286
1,10,0.2258777916431427
1,11,0.5576624870300293
1,12,0.574031412601471
1,13,0.39543989300727844
1,14,0.21642905473709106
1,15,0.4193541407585144
1,16,0.3650999367237091
1,17,0.4791497588157654
1,18,0.3417658507823944
1,19,0.2884233295917511
1,20,0.24378547072410583
1,21,0.2828204035758972
1,22,0.3299996554851532
1,23,0.5008614659309387
1,24,0.3476463258266449
1,25,0.3606056272983551
1,26,0.32701829075813293
1,27,0.3252379298210144
1,28,0.19268545508384705
1,29,0.26595398783683777
1,30,0.3758411705493927
1,31,0.4833664000034332
1,32,0.12578153610229492
1,33,0.19262346625328064
1,34,0.2712169289588928
1,35,0.2133648544549942
1,36,0.5003070831298828
1,37,0.2841200828552246
1,38,0.40456265211105347
1,39,0.30378711223602295
1,40,0.3928011953830719
1,41,0.3345794081687927
2,3,0.3335256278514862
2,4,0.329240620136261
2,5,0.28305983543395996
2,6,0.28802791237831116
2,7,0.3743074834346771
2,8,0.28329265117645264
2,9,0.2860148847103119
2,10,0.15471592545509338
2,11,0.28537747263908386
2,12,0.34569868445396423
2,13,0.4164602756500244
2,14,0.2746230959892273
2,15,0.23040246963500977
2,16,0.26896151900291443
2,17,0.26885277032852173
2,18,0.2654497027397156
2,19,0.16460423171520233
2,20,0.15802860260009766
2,21,0.1396138072013855
2,22,0.25954267382621765
2,23,0.5167302489280701
2,24,0.19513250887393951
2,25,0.21360154449939728
2,26,0.2598303258419037
2,27,0.15128135681152344
2,28,0.2746298313140869
2,29,0.28434112668037415
2,30,0.37982049584388733
2,31,0.4116288423538208
2,32,0.29801109433174133
2,33,0.32898110151290894
2,34,0.279067724943161
2,35,0.2832660973072052
2,36,0.27569258213043213
2,37,0.23902250826358795
2,38,0.3590260148048401
2,39,0.23667576909065247
2,40,0.244435116648674
2,41,0.2323683500289917
3,4,0.609636664390564
3,5,0.416892945766449
3,6,0.38099920749664307
3,7,0.3341231942176819
3,8,0.41480761766433716
3,9,0.3518564701080322
3,10,0.31127771735191345
3,11,0.44471991062164307
3,12,0.46485742926597595
3,13,0.39297667145729065
3,14,0.43378737568855286
3,15,0.3991014063358307
3,16,0.42498379945755005
3,17,0.4268939197063446
3,18,0.4456874430179596
3,19,0.5172402858734131
3,20,0.34544962644577026
3,21,0.35839617252349854
3,22,0.33470964431762695
3,23,0.43179190158843994
3,24,0.45016342401504517
3,25,0.3821423351764679
3,26,0.49578219652175903
3,27,0.5494573712348938
3,28,0.36281752586364746
3,29,0.3073903024196625
3,30,0.5158108472824097
3,31,0.43741947412490845
3,32,0.22669939696788788
3,33,0.2333938032388687
3,34,0.3489622175693512
3,35,0.36775144934654236
3,36,0.5812274217605591
3,37,0.43851763010025024
3,38,0.4717693328857422
3,39,0.3858754634857178
3,40,0.4499741792678833
3,41,0.4097459018230438
4,5,0.47607237100601196
4,6,0.5197132229804993
4,7,0.4566376805305481
4,8,0.45421531796455383
4,9,0.3206123411655426
4,10,0.22837254405021667
4,11,0.49969422817230225
4,12,0.5470490455627441
4,13,0.36637741327285767
4,14,0.22614450752735138
4,15,0.40933698415756226
4,16,0.4794282615184784
4,17,0.37493836879730225
4,18,0.2314256876707077
4,19,0.3926069736480713
4,20,0.2439071238040924
4,21,0.2763521373271942
4,22,0.3855656385421753
4,23,0.4438410997390747
4,24,0.315487802028656
4,25,0.44040101766586304
4,26,0.39850935339927673
4,27,0.3838839828968048
4,28,0.3057965040206909
4,29,0.32391154766082764
4,30,0.44175708293914795
4,31,0.47818753123283386
4,32,0.27518051862716675
4,33,0.28153982758522034
4,34,0.32808610796928406
4,35,0.2992265522480011
4,36,0.5261390805244446
4,37,0.4201139211654663
4,38,0.32381904125213623
4,39,0.28613659739494324
4,40,0.35709095001220703
4,41,0.3439236283302307
5,6,0.4470207393169403
5,7,0.4001402258872986
5,8,0.39181920886039734
5,9,0.26318222284317017
5,10,0.3173913061618805
5,11,0.44744348526000977
5,12,0.5272531509399414
5,13,0.5012601017951965
5,14,0.32173216342926025
5,15,0.3277575969696045
5,16,0.42412513494491577
5,17,0.3109186887741089
5,18,0.26870375871658325
5,19,0.2597152292728424
5,20,0.21593967080116272
5,21,0.15789103507995605
5,22,0.3210177719593048
5,23,0.3780268728733063
5,24,0.3020056188106537
5,25,0.42675405740737915
5,26,0.3489374816417694
5,27,0.2528197169303894
5,28,0.1802123486995697
5,29,0.2085917890071869
5,30,0.36602669954299927
5,31,0.49839305877685547
5,32,0.14438937604427338
5,33,0.18748188018798828
5,34,0.22404468059539795
5,35,0.21506346762180328
5,36,0.35468941926956177
5,37,0.2730626165866852
5,38,0.37438151240348816
5,39,0.32236626744270325
5,40,0.3127545714378357
5,41,0.2824625074863434
6,7,0.4589838683605194
6,8,0.33229339122772217
6,9,0.34651264548301697
6,10,0.30505359172821045
6,11,0.408307284116745
6,12,0.42378664016723633
6,13,0.47037991881370544
6,14,0.3320613503456116
6,15,0.3454616069793701
6,16,0.4603685140609741
6,17,0.3963736593723297
6,18,0.21833498775959015
6,19,0.19537970423698425
6,20,0.2500406801700592
6,21,0.205877885222435
6,22,0.2466401606798172
6,23,0.3863561153411865
6,24,0.2199171930551529
6,25,0.3810737133026123
6,26,0.2892494201660156
6,27,0.2949865460395813
6,28,0.23755651712417603
6,29,0.2662573456764221
6,30,0.39684560894966125
6,31,0.5826197862625122
6,32,0.2059279829263687
6,33,0.225605309009552
6,34,0.25374242663383484
6,35,0.26456114649772644
6,36,0.4817712903022766
6,37,0.27541252970695496
6,38,0.28618934750556946
6,39,0.3591325879096985
6,40,0.4038178026676178
6,41,0.26459798216819763
7,8,0.2869514524936676
7,9,0.3206602931022644
7,10,0.26533347368240356
7,11,0.46248316764831543
7,12,0.4610458016395569
7,13,0.49012526869773865
7,14,0.2351139783859253
7,15,0.3892297148704529
7,16,0.23588897287845612
7,17,0.2824675738811493
7,18,0.22425086796283722
7,19,0.256012886762619
7,20,0.21988870203495026
7,21,0.11637476086616516
7,22,0.4148437976837158
7,23,0.4217917323112488
7,24,0.19102685153484344
7,25,0.2882416248321533
7,26,0.18859748542308807
7,27,0.22848570346832275
7,28,0.2402932494878769
7,29,0.25664910674095154
7,30,0.304497629404068
7,31,0.46979954838752747
7,32,0.13377252221107483
7,33,0.12932398915290833
7,34,0.21566301584243774
7,35,0.14306488633155823
7,36,0.3152411878108978
7,37,0.26662564277648926
7,38,0.2921384572982788
7,39,0.1899402141571045
7,40,0.30837056040763855
8,9,0.2851635813713074
8,10,0.3748573660850525
8,11,0.4134799540042877
8,12,0.5001575946807861
8,13,0.3462528586387634
8,14,0.28207793831825256
8,15,0.3242088556289673
8,16,0.47526469826698303
8,17,0.33469945192337036
8,18,0.3352391719818115
8,19,0.285331666469574
8,20,0.34314078092575073
8,21,0.26992473006248474
8,22,0.3221331536769867
8,23,0.39314424991607666
8,24,0.374458909034729
8,25,0.3950873017311096
8,26,0.3938329815864563
8,27,0.27242806553840637
8,28,0.3420654237270355
8,29,0.3057083189487457
8,30,0.32891973853111267
8,31,0.3199821710586548
8,32,0.2434767186641693
8,33,0.29966193437576294
8,34,0.32786375284194946
8,35,0.2583634853363037
8,36,0.42206135392189026
8,37,0.2818320393562317
8,38,0.44519713521003723
8,39,0.5518701076507568
8,40,0.47042667865753174
8,41,0.4204445481300354
9,10,0.2927643060684204
9,11,0.383139967918396
9,12,0.37425869703292847
9,13,0.37242817878723145
9,14,0.22413793206214905
9,15,0.34776023030281067
9,16,0.4125126898288727
9,17,0.2643668055534363
9,18,0.24393612146377563
9,19,0.3623904585838318
9,20,0.32519999146461487
9,21,0.14477521181106567
9,22,0.23560486733913422
9,23,0.21366901695728302
9,24,0.2992855906486511
9,25,0.26469770073890686
9,26,0.3726417124271393
9,27,0.3739134669303894
9,28,0.4206520617008209
9,29,0.5789346694946289
9,30,0.45431333780288696
9,31,0.4082029461860657
9,32,0.3654939532279968
9,33,0.28519704937934875
9,34,0.3306379020214081
9,35,0.4376820921897888
9,36,0.4762025773525238
9,37,0.2382798045873642
9,38,0.30811792612075806
9,39,0.22325745224952698
9,40,0.3471320867538452
9,41,0.2437095046043396
10,11,0.35935360193252563
10,12,0.4745388329029083
10,13,0.28333133459091187
10,14,0.4303371012210846
10,15,0.32491543889045715
10,16,0.33562302589416504
10,17,0.43293261528015137
10,18,0.4564727544784546
10,19,0.29532888531684875
10,20,0.4540715217590332
10,21,0.2854527235031128
10,22,0.12589284777641296
10,23,0.14457280933856964
10,24,0.5068154335021973
10,25,0.3382202386856079
10,26,0.37509721517562866
10,27,0.24558699131011963
10,28,0.3291187286376953
10,29,0.2852364778518677
10,30,0.4922531545162201
10,31,0.26076602935791016
10,32,0.21841959655284882
10,33,0.27088460326194763
10,34,0.28435420989990234
10,35,0.18729689717292786
10,36,0.3990100622177124
10,37,0.2254953235387802
10,38,0.5227988958358765
10,39,0.3978172540664673
10,40,0.47259044647216797
10,41,0.3195057809352875
11,12,0.6518639326095581
11,13,0.34014612436294556
11,14,0.2765909731388092
11,15,0.45396047830581665
11,16,0.4170742928981781
11,17,0.3895309865474701
11,18,0.32278066873550415
11,19,0.3281545639038086
11,20,0.3247999846935272
11,21,0.2911463677883148
11,22,0.23779726028442383
11,23,0.44738271832466125
11,24,0.37712326645851135
11,25,0.41577064990997314
