source,target,weight
1,2,0.39547601342201233
1,3,0.496463418006897
1,4,0.2522832155227661
1,5,0.33238649368286133
1,6,0.6200061440467834
1,8,0.16591425240039825
1,9,0.37216824293136597
1,10,0.48724573850631714
1,11,0.3469613790512085
1,12,0.27381181716918945
1,13,0.4452957212924957
1,14,0.2044534683227539
1,17,0.20069743692874908
2,3,0.38335925340652466
2,4,0.30133289098739624
2,5,0.2672542333602905
2,6,0.42826250195503235
2,7,0.2465437352657318
2,8,0.3910762071609497
2,9,0.22802545130252838
2,10,0.3910648822784424
2,11,0.2360897660255432
2,12,0.3030877113342285
2,13,0.4890565276145935
2,14,0.3411744236946106
2,15,0.18547600507736206
2,16,0.25046107172966003
2,17,0.4146902859210968
3,4,0.6443697214126587
3,5,0.46047443151474
3,6,0.6095204949378967
3,7,0.4165109694004059
3,8,0.45665469765663147
3,9,0.17369340360164642
3,10,0.38370904326438904
3,11,0.1570870727300644
3,12,0.21674682199954987
3,13,0.47748294472694397
3,14,0.2768012583255768
3,15,0.10776632279157639
3,16,0.1294318288564682
3,17,0.3163674473762512
4,5,0.560265064239502
4,6,0.4855031967163086
4,7,0.3973805010318756
4,8,0.46472394466400146
4,9,0.13261891901493073
4,10,0.16134272515773773
4,12,0.10417655855417252
4,13,0.3325682282447815
4,14,0.23158715665340424
4,15,0.14601004123687744
4,16,0.1688227653503418
4,17,0.26094719767570496
5,6,0.46714383363723755
5,7,0.26545628905296326
5,8,0.3067360520362854
5,9,0.16859492659568787
5,10,0.20963381230831146
5,11,0.14049747586250305
5,12,0.15956053137779236
5,13,0.31244179606437683
5,14,0.23551708459854126
5,15,0.21475385129451752
5,16,0.10587244480848312
5,17,0.25703132152557373
6,7,0.3443213701248169
6,8,0.3408103585243225
6,9,0.3358209431171417
6,10,0.41637176275253296
6,11,0.29889175295829773
6,12,0.24673476815223694
6,13,0.5222065448760986
6,14,0.3488997220993042
6,15,0.2128351628780365
6,16,0.17778286337852478
6,17,0.31477653980255127
7,8,0.5082477927207947
7,9,0.1179015189409256
7,10,0.19542311131954193
7,12,0.11561582237482071
7,13,0.310715913772583
7,14,0.27204543352127075
7,15,0.16516569256782532
7,16,0.17145225405693054
7,17,0.25282424688339233
8,9,0.1045069471001625
8,10,0.1438463181257248
8,11,0.11359872668981552
8,12,0.2869012653827667
8,13,0.42711377143859863
8,14,0.4194859266281128
8,15,0.18945415318012238
8,16,0.13644933700561523
8,17,0.3848629295825958
9,10,0.30867791175842285
9,11,0.1950593888759613
9,12,0.29116788506507874
9,13,0.26147738099098206
9,14,0.19935142993927002
9,15,0.14336732029914856
9,17,0.13956618309020996
10,11,0.5320250988006592
10,12,0.23780865967273712
10,13,0.3913392126560211
10,14,0.16100752353668213
10,15,0.1559651792049408
10,16,0.22202545404434204
10,17,0.3137264549732208
11,12,0.21339353919029236
11,13,0.34635281562805176
11,14,0.20293575525283813
11,15,0.25702011585235596
11,16,0.1471722424030304
11,17,0.2082413136959076
12,13,0.3062971234321594
12,14,0.45312565565109253
12,15,0.32097283005714417
12,17,0.21209070086479187
13,14,0.44602417945861816
13,15,0.35771310329437256
13,16,0.18972475826740265
13,17,0.561927080154419
14,15,0.43801432847976685
14,16,0.18342675268650055
14,17,0.5101789832115173
15,16,0.26803460717201233
15,17,0.45547565817832947
16,17,0.392830491065979
