source,target,weight
1,2,0.2891663908958435
1,3,0.35670191049575806
1,4,0.3362239599227905
1,5,0.2223305106163025
1,6,0.1984822303056717
1,7,0.260864794254303
1,8,0.3347514867782593
1,9,0.19004319608211517
1,10,0.15010406076908112
1,11,0.23428058624267578
1,12,0.20265108346939087
1,13,0.2147338092327118
1,14,0.1339293271303177
1,15,0.13777460157871246
1,16,0.2550690174102783
1,17,0.1616138517856598
1,18,0.30259886384010315
1,19,0.29080259799957275
1,20,0.18018414080142975
2,3,0.2326783537864685
2,4,0.3813927173614502
2,5,0.26976579427719116
2,6,0.21035335958003998
2,8,0.21361736953258514
2,9,0.2779467701911926
2,10,0.17287372052669525
2,11,0.19138994812965393
2,12,0.22984951734542847
2,13,0.14145450294017792
2,14,0.19491896033287048
2,16,0.13251380622386932
2,17,0.1784629374742508
2,18,0.18886688351631165
2,19,0.21579810976982117
2,20,0.2945498824119568
3,4,0.23660066723823547
3,5,0.13747993111610413
3,6,0.1896064281463623
3,7,0.1954982578754425
3,8,0.19117745757102966
3,11,0.10623887926340103
3,16,0.22476759552955627
3,17,0.18669819831848145
3,18,0.18848146498203278
3,19,0.2638585865497589
3,20,0.30380794405937195
4,5,0.3145829439163208
4,6,0.2541663348674774
4,7,0.2531457841396332
4,8,0.3792300224304199
4,9,0.37043869495391846
4,10,0.3630995452404022
4,11,0.3247118294239044
4,12,0.4644594192504883
4,13,0.32415229082107544
4,14,0.1512729376554489
4,15,0.35011786222457886
4,16,0.3624068796634674
4,17,0.24531641602516174
4,18,0.3301130533218384
4,19,0.34427616000175476
4,20,0.2574761211872101
5,6,0.19138255715370178
5,7,0.17125989496707916
5,8,0.29501309990882874
5,9,0.6182467341423035
5,10,0.5626735687255859
5,11,0.36811700463294983
5,12,0.2938213050365448
5,13,0.1496020406484604
5,14,0.3420325815677643
5,15,0.24018016457557678
5,16,0.466252863407135
5,17,0.25547051429748535
5,18,0.2733120024204254
5,19,0.38046205043792725
5,20,0.2959449589252472
6,7,0.6336817145347595
6,8,0.5506330132484436
6,9,0.11997994780540466
6,10,0.25090426206588745
6,11,0.15921650826931
6,13,0.22438940405845642
6,16,0.337160587310791
6,17,0.24282145500183105
6,18,0.542079508304596
6,19,0.28710058331489563
6,20,0.29661476612091064
7,8,0.6530572772026062
7,10,0.29892492294311523
7,11,0.11703218519687653
7,13,0.2902703881263733
7,16,0.249676913022995
7,17,0.17496120929718018
7,18,0.6079709529876709
7,19,0.45728692412376404
7,20,0.27799084782600403
8,9,0.2393108755350113
8,10,0.4156419634819031
8,11,0.28361043334007263
8,12,0.1627354919910431
8,13,0.29461604356765747
8,16,0.2621437907218933
8,17,0.21122750639915466
8,18,0.6541118621826172
8,19,0.38790643215179443
8,20,0.34197720885276794
9,10,0.644442081451416
9,11,0.4761514365673065
9,12,0.4013299345970154
9,13,0.3006095886230469
9,14,0.49968773126602173
9,15,0.46749576926231384
9,16,0.46564459800720215
9,17,0.24908941984176636
9,18,0.18701769411563873
9,19,0.33484336733818054
9,20,0.21468739211559296
10,11,0.5019000768661499
10,12,0.4921617805957794
10,13,0.4224458336830139
10,14,0.5406655073165894
10,15,0.4775761365890503
10,16,0.5273832082748413
10,17,0.21230201423168182
10,18,0.41426095366477966
10,19,0.3977900743484497
10,20,0.2757048010826111
11,12,0.2871832549571991
11,13,0.28509366512298584
11,14,0.4086788296699524
11,15,0.3009836971759796
11,16,0.4826464354991913
11,17,0.3479219079017639
11,18,0.26892712712287903
11,19,0.3632655143737793
11,20,0.2090359628200531
12,13,0.45279157161712646
12,14,0.3896539807319641
12,15,0.49927520751953125
12,16,0.3179422914981842
12,18,0.209198459982872
12,19,0.2240784466266632
12,20,0.19221869111061096
13,14,0.2908051013946533
13,15,0.49728524684906006
13,16,0.3357962667942047
13,17,0.11638737469911575
13,18,0.31544697284698486
13,19,0.302720844745636
13,20,0.22345931828022003
14,15,0.545896053314209
14,16,0.4794948101043701
14,17,0.24484696984291077
14,19,0.2030709981918335
14,20,0.15834438800811768
15,16,0.49518853425979614
15,17,0.25326716899871826
15,18,0.1426377296447754
15,19,0.24337351322174072
15,20,0.15469661355018616
16,17,0.43549346923828125
16,18,0.3154151737689972
16,19,0.3779594600200653
16,20,0.346986323595047
17,18,0.20426279306411743
17,19,0.2176404446363449
17,20,0.23520314693450928
18,19,0.4486168324947357
18,20,0.2900329530239105
19,20,0.34276875853538513
