event_id,semantic_centrality,centrality_z
9,8.766327530145645,1.69568831418077
6,8.378350257873535,1.2548943822046965
11,8.31881108880043,1.1872499444554787
4,8.08179435133934,0.9179673160226974
13,7.929053395986557,0.7444332172610699
10,7.590462297201157,0.35974856578220904
8,7.567761838436127,0.3339578167053396
16,7.456214874982834,0.2072255874368086
5,7.443781793117523,0.19309994804072828
3,7.337286531925201,0.07210712636621767
17,6.789463862776756,-0.5502924975741494
12,6.738282352685928,-0.6084415199261242
1,6.711555480957031,-0.6388068111964283
14,6.49240742623806,-0.8877882326048779
15,6.2671827375888824,-1.1436735206949724
2,6.244231581687927,-1.1697490951577014
7,5.541962414979935,-1.9676205413017627
