event_id,semantic_centrality,centrality_z
12,7.100776851177216,1.5290770241104545
4,6.872694313526154,1.1756422265901632
5,6.555227994918823,0.6836990678019538
1,6.545813173055649,0.6691099383877968
10,6.362715512514114,0.38538333114117246
8,6.235829949378967,0.18876252107491764
3,6.229827791452408,0.17946162722611372
13,6.152721047401428,0.059977659923016555
9,6.014883130788803,-0.15361482571975768
6,5.9087203443050385,-0.31812379397090335
2,5.564781814813614,-0.851088069895437
7,4.977768734097481,-1.7607186425001389
11,4.960441961884499,-1.7875680641693434
