time_in_ms,pupilSize
0.0,1.0670658131679653
20.0,1.088652778652105
40.0,1.1137666611229857
60.0,1.1413450459043328
80.0,1.1702337533687652
100.0,1.1994268668814314
120.0,1.2281654961318107
140.0,1.2559457368874092
160.0,1.282483804194965
180.0,1.3076643980990095
200.0,1.3315171836967648
220.0,1.354209004886634
240.0,1.3760599820604917
260.0,1.3975415190623488
280.0,1.4192253043898242
300.0,1.4416439629312372
320.0,1.465125063166531
340.0,1.4896917179723204
360.0,1.515041824553029
380.0,1.5406529263963882
400.0,1.565973471321351
420.0,1.5906226436227373
440.0,1.6144706633010542
460.0,1.637598530011611
480.0,1.6601955826083925
500.0,1.6824454362766665
520.0,1.7044644758955616
540.0,1.7263242693953136
560.0,1.7481348055041621
580.0,1.770160937840838
600.0,1.7928779202456173
620.0,1.8169059835585426
640.0,1.8428267250380073
660.0,1.8709221933084603
680.0,1.9009732341778478
700.0,1.932256266447488
720.0,1.9637694824151564
740.0,1.994529667442054
760.0,2.023758348136315
780.0,2.051025851357929
800.0,2.0763159655962338
820.0,2.0999253734253935
840.0,2.122304633742609
860.0,2.1439224605890894
880.0,2.1651782389160865
900.0,2.1863654900870872
920.0,2.2076764153149613
940.0,2.2292313683322287
960.0,2.2511155883295175
980.0,2.2734072267074694
1000.0,2.296184496293783
1020.0,2.3195050570000904
1040.0,2.343357327772492
1060.0,2.367591168753742
1080.0,2.3918438634260877
1100.0,2.4154853462261703
1120.0,2.437611910835584
1140.0,2.4571168450222802
1160.0,2.472855451428339
1180.0,2.483896625992373
1200.0,2.489810734023373
1220.0,2.490886336982741
1240.0,2.488120226741684
1260.0,2.482877701181011
1280.0,2.4763951816178897
1300.0,2.4694356481149424
1320.0,2.462222602371922
1340.0,2.4545952491502594
1360.0,2.4462462529041176
1380.0,2.43689142238262
1400.0,2.4263847350798633
1420.0,2.4148278068091007
1440.0,2.4026242386639765
1460.0,2.390416491164333
1480.0,2.3789739402776267
1500.0,2.3690724673921384
1520.0,2.36135206572603
1540.0,2.356201311047475
1560.0,2.3536862530707534
1580.0,2.353536644898686
1600.0,2.3552103364764605
1620.0,2.3580222827737045
1640.0,2.36130913609862
1660.0,2.3645519431547606
