subject,story,order,valence,story_start_sec,story_end_sec,story_duration_sec,mean_pupil_size,z_pupil
1018,Sea Ice,1,neutral,0,381,381,842.0747331717291,-0.898449657342099
1018,Dont Look,2,negative,383,1093,710,879.1795193810873,-0.4966034643697092
1018,Impatient Billionaire,3,positive,1095,1425,330,1053.847127126476,1.3950531217118107
