subject,story,order,valence,story_start_sec,story_end_sec,story_duration_sec,mean_pupil_size,z_pupil
1037,Pool Party,1,positive,0,374,374,811.2038434748049,-0.9301256026222853
1037,Sea Ice,2,neutral,376,757,381,996.3779658601262,-0.45751498538757074
1037,Natalie Wood,3,negative,759,1574,815,1719.3305435390264,1.387640588009857
